fact_id,category,statement,value,unit,source
F051,Market performance,Spain revenue growth year on year,15.686113300820509,%,mart_market
F052,Market performance,"Netherlands revenue, last 12 months",277.92909875,EUR m,mart_market
F053,Market performance,Netherlands revenue growth year on year,10.127215245122915,%,mart_market
F054,Market performance,"Poland revenue, last 12 months",213.15342075,EUR m,mart_market
F055,Market performance,Poland revenue growth year on year,23.95023960640979,%,mart_market
F056,Market performance,"Italy revenue, last 12 months",193.34878713,EUR m,mart_market
F057,Market performance,Italy revenue growth year on year,11.580971688930411,%,mart_market
F058,Market performance,Largest absolute market gain: Spain,53.54842058000004,EUR m,mart_market
F059,Market performance,Largest absolute market decline: Czechia,-0.04381078999999911,EUR m,mart_market
F060,Portfolio structure,Active accounts in the last 12 months,111.0,count,mart_customer
F061,Portfolio structure,Share of revenue from the ten largest accounts,31.019238714910557,%,mart_customer
F062,Portfolio structure,Customer Herfindahl-Hirschman index,180.63190162897263,index,mart_customer
F063,Portfolio structure,Net revenue retention,112.5243119173073,%,mart_customer
F064,Portfolio structure,Accounts that churned during the window,11.0,count,dim_customer
F065,Account movements,"Largest growing account Messaging Aggregator PL-08 (PL, Messaging Aggregator) revenue change year on year",30.846596330000004,EUR m,mart_customer
F066,Account movements,"Largest growing account Messaging Aggregator ES-01 (ES, Messaging Aggregator) revenue change year on year",17.049456329999998,EUR m,mart_customer
F067,Account movements,"Largest growing account Messaging Aggregator NL-03 (NL, Messaging Aggregator) revenue change year on year",13.372380019999996,EUR m,mart_customer
F068,Account movements,"Largest declining account Tier-1 Carrier FR-04 (FR, Tier-1 Carrier) revenue change year on year",-5.90188395,EUR m,mart_customer
F069,Account movements,"Largest declining account Hyperscaler & OTT FR-06 (FR, Hyperscaler & OTT) revenue change year on year",-3.614637370000001,EUR m,mart_customer
F070,Account movements,"Largest declining account Tier-2 Carrier CZ-02 (CZ, Tier-2 Carrier) revenue change year on year",-1.0825300800000002,EUR m,mart_customer
F071,Market indicators,"International travel index, EU average, latest month",127.57899230769227,index,fact_market_indicator
F072,Market indicators,International travel index change year on year,3.555799342898047,%,fact_market_indicator
F073,Market indicators,"Data traffic index, EU average, latest month",686.7131153846154,index,fact_market_indicator
F074,Market indicators,Data traffic index change year on year,28.08124371655858,%,fact_market_indicator
F075,Market indicators,"OTT substitution index, EU average, latest month",189.4504076923077,index,fact_market_indicator
F076,Market indicators,OTT substitution index change year on year,9.543435011596157,%,fact_market_indicator
F077,Market indicators,"E-commerce activity index, EU average, latest month",236.03615384615387,index,fact_market_indicator
F078,Market indicators,E-commerce activity index change year on year,10.164306724411043,%,fact_market_indicator
F079,Market indicators,"Consumer price inflation, EU average, latest month",2.2130538461538465,%,fact_market_indicator
F080,Forecast,"Forecast revenue, next 12 months",2632.6032506634806,EUR m,fact_forecast
F081,Forecast,Forecast revenue growth versus the last 12 months,7.600704950432857,%,fact_forecast
F082,Forecast,Champion model backtest WAPE,11.341377354104038,%,accuracy_by_model
F083,Forecast,Seasonal-naive benchmark backtest WAPE,14.341530604203603,%,accuracy_by_model
F084,Forecast,Champion accuracy improvement over the benchmark,20.919337920739082,%,accuracy_by_model
F085,Forecast,Backtest WAPE at a 1-month horizon,6.911280094921198,%,accuracy_by_horizon
F086,Forecast,Backtest WAPE at a 12-month horizon,12.6855356783302,%,accuracy_by_horizon
F087,Forecast,"International Voice Termination forecast revenue, next 12 months",109.10185029532677,EUR m,fact_forecast
F088,Forecast,International Voice Termination forecast growth versus the last 12 months,-20.177180213499557,%,fact_forecast
F089,Forecast,"A2P Messaging forecast revenue, next 12 months",860.0777502336193,EUR m,fact_forecast
F090,Forecast,A2P Messaging forecast growth versus the last 12 months,10.124894317042399,%,fact_forecast
F091,Forecast,"IPX Roaming & Signalling forecast revenue, next 12 months",578.4880089070135,EUR m,fact_forecast
F092,Forecast,IPX Roaming & Signalling forecast growth versus the last 12 months,9.303502678130826,%,fact_forecast
F093,Forecast,"IP Transit forecast revenue, next 12 months",216.4587783383541,EUR m,fact_forecast
F094,Forecast,IP Transit forecast growth versus the last 12 months,9.88671489955375,%,fact_forecast
F095,Forecast,"Ethernet & Capacity Services forecast revenue, next 12 months",441.8457443017197,EUR m,fact_forecast
F096,Forecast,Ethernet & Capacity Services forecast growth versus the last 12 months,4.0217035361057585,%,fact_forecast
F097,Forecast,"Cloud Connect forecast revenue, next 12 months",210.62777373244944,EUR m,fact_forecast
F098,Forecast,Cloud Connect forecast growth versus the last 12 months,11.355198338270412,%,fact_forecast
F099,Forecast,"Voice Firewall & Anti-Fraud forecast revenue, next 12 months",216.00334485499755,EUR m,fact_forecast
F100,Forecast,Voice Firewall & Anti-Fraud forecast growth versus the last 12 months,14.40021460281331,%,fact_forecast
F101,Scenarios,"Downside scenario revenue, next 12 months",2481.6184579561173,EUR m,fact_scenario
F102,Scenarios,Downside scenario growth versus the last 12 months,1.4296003117020122,%,fact_scenario
F103,Scenarios,"Baseline scenario revenue, next 12 months",2632.60325066348,EUR m,fact_scenario
F104,Scenarios,Baseline scenario growth versus the last 12 months,7.600704950432833,%,fact_scenario
F105,Scenarios,"Upside scenario revenue, next 12 months",2790.8991866315237,EUR m,fact_scenario
F106,Scenarios,Upside scenario growth versus the last 12 months,14.07063326061682,%,fact_scenario
F107,Scenarios,Planning range between the upside and downside scenarios,309.28072867540646,EUR m,fact_scenario
F108,Scenarios,Planning range as a share of the baseline,11.748094916978475,%,fact_scenario
