view_type,date,country_code,country_name,product_id,product_name,series,scenario,model,horizon,category,value,actual,abs_error,metric_order
Trend,2019-01-01,GR,Greece,P07,Voice Firewall & Anti-Fraud,Actual,,,,,208264.48,,,
Trend,2019-01-01,HR,Croatia,P05,Ethernet & Capacity Services,Actual,,,,,134775.18,,,
Trend,2019-01-01,HR,Croatia,P06,Cloud Connect,Actual,,,,,32258.85,,,
Trend,2019-01-01,HU,Hungary,P01,International Voice Termination,Actual,,,,,4413627.71,,,
Trend,2019-01-01,HU,Hungary,P02,A2P Messaging,Actual,,,,,399779.43,,,
Trend,2019-01-01,HU,Hungary,P03,IPX Roaming & Signalling,Actual,,,,,686972.31,,,
Trend,2019-01-01,HU,Hungary,P04,IP Transit,Actual,,,,,35876.14,,,
Trend,2019-01-01,HU,Hungary,P05,Ethernet & Capacity Services,Actual,,,,,650698.99,,,
Trend,2019-01-01,HU,Hungary,P06,Cloud Connect,Actual,,,,,22394.87,,,
Trend,2019-01-01,HU,Hungary,P07,Voice Firewall & Anti-Fraud,Actual,,,,,256729.28,,,
Trend,2019-01-01,IT,Italy,P01,International Voice Termination,Actual,,,,,532322.02,,,
Trend,2019-01-01,IT,Italy,P02,A2P Messaging,Actual,,,,,175076.68,,,
Trend,2019-01-01,IT,Italy,P03,IPX Roaming & Signalling,Actual,,,,,119507.33,,,
Trend,2019-01-01,IT,Italy,P04,IP Transit,Actual,,,,,757838.33,,,
Trend,2019-01-01,IT,Italy,P05,Ethernet & Capacity Services,Actual,,,,,4740253.52,,,
Trend,2019-01-01,IT,Italy,P06,Cloud Connect,Actual,,,,,727656.8,,,
Trend,2019-01-01,IT,Italy,P07,Voice Firewall & Anti-Fraud,Actual,,,,,138181.82,,,
Trend,2019-01-01,NL,Netherlands,P01,International Voice Termination,Actual,,,,,7341261.47,,,
Trend,2019-01-01,NL,Netherlands,P02,A2P Messaging,Actual,,,,,1879277.36,,,
Trend,2019-01-01,NL,Netherlands,P03,IPX Roaming & Signalling,Actual,,,,,2009271.46,,,
Trend,2019-01-01,NL,Netherlands,P04,IP Transit,Actual,,,,,891064.15,,,
Trend,2019-01-01,NL,Netherlands,P05,Ethernet & Capacity Services,Actual,,,,,1811792.88,,,
Trend,2019-01-01,NL,Netherlands,P06,Cloud Connect,Actual,,,,,33327.74,,,
Trend,2019-01-01,NL,Netherlands,P07,Voice Firewall & Anti-Fraud,Actual,,,,,611601.68,,,
Trend,2019-01-01,PL,Poland,P01,International Voice Termination,Actual,,,,,6478451.22,,,
Trend,2019-01-01,PL,Poland,P02,A2P Messaging,Actual,,,,,122756.29,,,
Trend,2019-01-01,PL,Poland,P03,IPX Roaming & Signalling,Actual,,,,,1294110.53,,,
Trend,2019-01-01,PL,Poland,P04,IP Transit,Actual,,,,,537413.39,,,
Trend,2019-01-01,PL,Poland,P05,Ethernet & Capacity Services,Actual,,,,,1910741.36,,,
Trend,2019-01-01,PL,Poland,P06,Cloud Connect,Actual,,,,,20994.02,,,
Trend,2019-01-01,PL,Poland,P07,Voice Firewall & Anti-Fraud,Actual,,,,,180301.78,,,
Trend,2019-01-01,RO,Romania,P01,International Voice Termination,Actual,,,,,483888.43,,,
Trend,2019-01-01,RO,Romania,P03,IPX Roaming & Signalling,Actual,,,,,212330.83,,,
Trend,2019-01-01,RO,Romania,P05,Ethernet & Capacity Services,Actual,,,,,580345.24,,,
Trend,2019-01-01,RO,Romania,P07,Voice Firewall & Anti-Fraud,Actual,,,,,62339.63,,,
Trend,2019-01-01,SK,Slovakia,P01,International Voice Termination,Actual,,,,,716554.68,,,
Trend,2019-01-01,SK,Slovakia,P02,A2P Messaging,Actual,,,,,722384.39,,,
Trend,2019-01-01,SK,Slovakia,P03,IPX Roaming & Signalling,Actual,,,,,407780.83,,,
Trend,2019-01-01,SK,Slovakia,P05,Ethernet & Capacity Services,Actual,,,,,635181.93,,,
Trend,2019-01-01,SK,Slovakia,P07,Voice Firewall & Anti-Fraud,Actual,,,,,47409.52,,,
Trend,2019-02-01,AT,Austria,P01,International Voice Termination,Actual,,,,,1880323.73,,,
Trend,2019-02-01,AT,Austria,P02,A2P Messaging,Actual,,,,,1492040.09,,,
Trend,2019-02-01,AT,Austria,P03,IPX Roaming & Signalling,Actual,,,,,514196.27,,,
Trend,2019-02-01,AT,Austria,P04,IP Transit,Actual,,,,,390019.19,,,
Trend,2019-02-01,AT,Austria,P05,Ethernet & Capacity Services,Actual,,,,,1207626.18,,,
Trend,2019-02-01,AT,Austria,P06,Cloud Connect,Actual,,,,,90464.05,,,
Trend,2019-02-01,AT,Austria,P07,Voice Firewall & Anti-Fraud,Actual,,,,,234961.4,,,
Trend,2019-02-01,CZ,Czechia,P03,IPX Roaming & Signalling,Actual,,,,,53139.22,,,
Trend,2019-02-01,CZ,Czechia,P04,IP Transit,Actual,,,,,94059.08,,,
Trend,2019-02-01,CZ,Czechia,P05,Ethernet & Capacity Services,Actual,,,,,1102712.37,,,
Trend,2019-02-01,CZ,Czechia,P06,Cloud Connect,Actual,,,,,47470.91,,,
Trend,2019-02-01,CZ,Czechia,P07,Voice Firewall & Anti-Fraud,Actual,,,,,14234.5,,,
Trend,2019-02-01,DE,Germany,P01,International Voice Termination,Actual,,,,,10593963.04,,,
Trend,2019-02-01,DE,Germany,P02,A2P Messaging,Actual,,,,,1702569.74,,,
Trend,2019-02-01,DE,Germany,P03,IPX Roaming & Signalling,Actual,,,,,2293201.29,,,
Trend,2019-02-01,DE,Germany,P04,IP Transit,Actual,,,,,2836646.94,,,
Trend,2019-02-01,DE,Germany,P05,Ethernet & Capacity Services,Actual,,,,,5543703.09,,,
Trend,2019-02-01,DE,Germany,P06,Cloud Connect,Actual,,,,,1620557.41,,,
Trend,2019-02-01,DE,Germany,P07,Voice Firewall & Anti-Fraud,Actual,,,,,370399.18,,,
Trend,2019-02-01,ES,Spain,P01,International Voice Termination,Actual,,,,,2485952.15,,,
Trend,2019-02-01,ES,Spain,P02,A2P Messaging,Actual,,,,,3244105.06,,,
Trend,2019-02-01,ES,Spain,P03,IPX Roaming & Signalling,Actual,,,,,1128497.35,,,
Trend,2019-02-01,ES,Spain,P04,IP Transit,Actual,,,,,1498273.72,,,
Trend,2019-02-01,ES,Spain,P05,Ethernet & Capacity Services,Actual,,,,,4587953.3,,,
Trend,2019-02-01,ES,Spain,P06,Cloud Connect,Actual,,,,,598869.89,,,
Trend,2019-02-01,ES,Spain,P07,Voice Firewall & Anti-Fraud,Actual,,,,,635602.07,,,
Trend,2019-02-01,FR,France,P01,International Voice Termination,Actual,,,,,5191529.66,,,
Trend,2019-02-01,FR,France,P02,A2P Messaging,Actual,,,,,3374940.34,,,
Trend,2019-02-01,FR,France,P03,IPX Roaming & Signalling,Actual,,,,,3985043.67,,,
Trend,2019-02-01,FR,France,P04,IP Transit,Actual,,,,,703700.84,,,
Trend,2019-02-01,FR,France,P05,Ethernet & Capacity Services,Actual,,,,,2608320.97,,,
Trend,2019-02-01,FR,France,P06,Cloud Connect,Actual,,,,,660736.17,,,
Trend,2019-02-01,FR,France,P07,Voice Firewall & Anti-Fraud,Actual,,,,,1308711.35,,,
Trend,2019-02-01,GR,Greece,P01,International Voice Termination,Actual,,,,,1831777.07,,,
Trend,2019-02-01,GR,Greece,P02,A2P Messaging,Actual,,,,,642092.61,,,
Trend,2019-02-01,GR,Greece,P03,IPX Roaming & Signalling,Actual,,,,,437413.39,,,
Trend,2019-02-01,GR,Greece,P04,IP Transit,Actual,,,,,227994.7,,,
Trend,2019-02-01,GR,Greece,P05,Ethernet & Capacity Services,Actual,,,,,591848.04,,,
Trend,2019-02-01,GR,Greece,P07,Voice Firewall & Anti-Fraud,Actual,,,,,209338.39,,,
Trend,2019-02-01,HR,Croatia,P05,Ethernet & Capacity Services,Actual,,,,,146102.94,,,
Trend,2019-02-01,HR,Croatia,P06,Cloud Connect,Actual,,,,,34401.35,,,
Trend,2019-02-01,HU,Hungary,P01,International Voice Termination,Actual,,,,,4134865.85,,,
Trend,2019-02-01,HU,Hungary,P02,A2P Messaging,Actual,,,,,443928.67,,,
Trend,2019-02-01,HU,Hungary,P03,IPX Roaming & Signalling,Actual,,,,,730606.87,,,
Trend,2019-02-01,HU,Hungary,P04,IP Transit,Actual,,,,,41373.81,,,
Trend,2019-02-01,HU,Hungary,P05,Ethernet & Capacity Services,Actual,,,,,675507.69,,,
Trend,2019-02-01,HU,Hungary,P06,Cloud Connect,Actual,,,,,20873.26,,,
Trend,2019-02-01,HU,Hungary,P07,Voice Firewall & Anti-Fraud,Actual,,,,,251562.22,,,
Trend,2019-02-01,IT,Italy,P01,International Voice Termination,Actual,,,,,465593.28,,,
Trend,2019-02-01,IT,Italy,P02,A2P Messaging,Actual,,,,,175467.65,,,
Trend,2019-02-01,IT,Italy,P03,IPX Roaming & Signalling,Actual,,,,,108353.9,,,
Trend,2019-02-01,IT,Italy,P04,IP Transit,Actual,,,,,720636.93,,,
Trend,2019-02-01,IT,Italy,P05,Ethernet & Capacity Services,Actual,,,,,4350470.94,,,
Trend,2019-02-01,IT,Italy,P06,Cloud Connect,Actual,,,,,706123.14,,,
Trend,2019-02-01,IT,Italy,P07,Voice Firewall & Anti-Fraud,Actual,,,,,145869.63,,,
Trend,2019-02-01,NL,Netherlands,P01,International Voice Termination,Actual,,,,,6708964.87,,,
Trend,2019-02-01,NL,Netherlands,P02,A2P Messaging,Actual,,,,,1918561.96,,,
Trend,2019-02-01,NL,Netherlands,P03,IPX Roaming & Signalling,Actual,,,,,2021396.47,,,
Trend,2019-02-01,NL,Netherlands,P04,IP Transit,Actual,,,,,786191.71,,,
Trend,2019-02-01,NL,Netherlands,P05,Ethernet & Capacity Services,Actual,,,,,1761919.83,,,
Trend,2019-02-01,NL,Netherlands,P06,Cloud Connect,Actual,,,,,36597.12,,,
Trend,2019-02-01,NL,Netherlands,P07,Voice Firewall & Anti-Fraud,Actual,,,,,648824.35,,,
Trend,2019-02-01,PL,Poland,P01,International Voice Termination,Actual,,,,,5619341.36,,,
Trend,2019-02-01,PL,Poland,P02,A2P Messaging,Actual,,,,,122929.77,,,
Trend,2019-02-01,PL,Poland,P03,IPX Roaming & Signalling,Actual,,,,,1318181.37,,,
Trend,2019-02-01,PL,Poland,P04,IP Transit,Actual,,,,,497419.84,,,
Trend,2019-02-01,PL,Poland,P05,Ethernet & Capacity Services,Actual,,,,,1971549.69,,,
Trend,2019-02-01,PL,Poland,P06,Cloud Connect,Actual,,,,,21167.53,,,
Trend,2019-02-01,PL,Poland,P07,Voice Firewall & Anti-Fraud,Actual,,,,,171988.43,,,
Trend,2019-02-01,RO,Romania,P01,International Voice Termination,Actual,,,,,451374.14,,,
Trend,2019-02-01,RO,Romania,P03,IPX Roaming & Signalling,Actual,,,,,215896.83,,,
Trend,2019-02-01,RO,Romania,P05,Ethernet & Capacity Services,Actual,,,,,578981.11,,,
Trend,2019-02-01,RO,Romania,P07,Voice Firewall & Anti-Fraud,Actual,,,,,61266.78,,,
Trend,2019-02-01,SK,Slovakia,P01,International Voice Termination,Actual,,,,,680279.28,,,
Trend,2019-02-01,SK,Slovakia,P02,A2P Messaging,Actual,,,,,669979.81,,,
Trend,2019-02-01,SK,Slovakia,P03,IPX Roaming & Signalling,Actual,,,,,439112.93,,,
Trend,2019-02-01,SK,Slovakia,P05,Ethernet & Capacity Services,Actual,,,,,638549.16,,,
Trend,2019-02-01,SK,Slovakia,P07,Voice Firewall & Anti-Fraud,Actual,,,,,52293.08,,,
Trend,2019-03-01,AT,Austria,P01,International Voice Termination,Actual,,,,,2163832.23,,,
Trend,2019-03-01,AT,Austria,P02,A2P Messaging,Actual,,,,,1596392.45,,,
Trend,2019-03-01,AT,Austria,P03,IPX Roaming & Signalling,Actual,,,,,589385.2,,,
Trend,2019-03-01,AT,Austria,P04,IP Transit,Actual,,,,,411679.47,,,
Trend,2019-03-01,AT,Austria,P05,Ethernet & Capacity Services,Actual,,,,,1240499.65,,,
Trend,2019-03-01,AT,Austria,P06,Cloud Connect,Actual,,,,,89629.71,,,
Trend,2019-03-01,AT,Austria,P07,Voice Firewall & Anti-Fraud,Actual,,,,,243436.04,,,
Trend,2019-03-01,CZ,Czechia,P03,IPX Roaming & Signalling,Actual,,,,,55163.97,,,
Trend,2019-03-01,CZ,Czechia,P04,IP Transit,Actual,,,,,90969.93,,,
Trend,2019-03-01,CZ,Czechia,P05,Ethernet & Capacity Services,Actual,,,,,1167113.25,,,
Trend,2019-03-01,CZ,Czechia,P06,Cloud Connect,Actual,,,,,54906.76,,,
Trend,2019-03-01,CZ,Czechia,P07,Voice Firewall & Anti-Fraud,Actual,,,,,14256.19,,,
Trend,2019-03-01,DE,Germany,P01,International Voice Termination,Actual,,,,,11649351.48,,,
Trend,2019-03-01,DE,Germany,P02,A2P Messaging,Actual,,,,,1909148.83,,,
Trend,2019-03-01,DE,Germany,P03,IPX Roaming & Signalling,Actual,,,,,2379884.71,,,
Trend,2019-03-01,DE,Germany,P04,IP Transit,Actual,,,,,2937186.02,,,
Trend,2019-03-01,DE,Germany,P05,Ethernet & Capacity Services,Actual,,,,,5765386.54,,,
Trend,2019-03-01,DE,Germany,P06,Cloud Connect,Actual,,,,,1637581.95,,,
Trend,2019-03-01,DE,Germany,P07,Voice Firewall & Anti-Fraud,Actual,,,,,392888.18,,,
Trend,2019-03-01,ES,Spain,P01,International Voice Termination,Actual,,,,,2743560.84,,,
Trend,2019-03-01,ES,Spain,P02,A2P Messaging,Actual,,,,,3565437.23,,,
Trend,2019-03-01,ES,Spain,P03,IPX Roaming & Signalling,Actual,,,,,1257598.02,,,
Trend,2019-03-01,ES,Spain,P04,IP Transit,Actual,,,,,1534774.76,,,
Trend,2019-03-01,ES,Spain,P05,Ethernet & Capacity Services,Actual,,,,,4602553.12,,,
Trend,2019-03-01,ES,Spain,P06,Cloud Connect,Actual,,,,,608312.22,,,
Trend,2019-03-01,ES,Spain,P07,Voice Firewall & Anti-Fraud,Actual,,,,,640049.24,,,
Trend,2019-03-01,FR,France,P01,International Voice Termination,Actual,,,,,5870217.69,,,
Trend,2019-03-01,FR,France,P02,A2P Messaging,Actual,,,,,3875000.89,,,
Trend,2019-03-01,FR,France,P03,IPX Roaming & Signalling,Actual,,,,,4603844.52,,,
Trend,2019-03-01,FR,France,P04,IP Transit,Actual,,,,,730564.37,,,
Trend,2019-03-01,FR,France,P05,Ethernet & Capacity Services,Actual,,,,,2833501.69,,,
Trend,2019-03-01,FR,France,P06,Cloud Connect,Actual,,,,,684517.24,,,
Trend,2019-03-01,FR,France,P07,Voice Firewall & Anti-Fraud,Actual,,,,,1310443.76,,,
Trend,2019-03-01,GR,Greece,P01,International Voice Termination,Actual,,,,,1949397.0,,,
Trend,2019-03-01,GR,Greece,P02,A2P Messaging,Actual,,,,,715159.45,,,
Trend,2019-03-01,GR,Greece,P03,IPX Roaming & Signalling,Actual,,,,,523118.39,,,
Trend,2019-03-01,GR,Greece,P04,IP Transit,Actual,,,,,252345.02,,,
Trend,2019-03-01,GR,Greece,P05,Ethernet & Capacity Services,Actual,,,,,605443.48,,,
Trend,2019-03-01,GR,Greece,P07,Voice Firewall & Anti-Fraud,Actual,,,,,210275.98,,,
Trend,2019-03-01,HR,Croatia,P05,Ethernet & Capacity Services,Actual,,,,,128087.27,,,
Trend,2019-03-01,HR,Croatia,P06,Cloud Connect,Actual,,,,,33809.97,,,
Trend,2019-03-01,HU,Hungary,P01,International Voice Termination,Actual,,,,,4516287.59,,,
Trend,2019-03-01,HU,Hungary,P02,A2P Messaging,Actual,,,,,434143.63,,,
Trend,2019-03-01,HU,Hungary,P03,IPX Roaming & Signalling,Actual,,,,,775537.19,,,
Trend,2019-03-01,HU,Hungary,P04,IP Transit,Actual,,,,,39231.99,,,
Trend,2019-03-01,HU,Hungary,P05,Ethernet & Capacity Services,Actual,,,,,758939.6,,,
Trend,2019-03-01,HU,Hungary,P06,Cloud Connect,Actual,,,,,21725.78,,,
Trend,2019-03-01,HU,Hungary,P07,Voice Firewall & Anti-Fraud,Actual,,,,,258419.73,,,
Trend,2019-03-01,IT,Italy,P01,International Voice Termination,Actual,,,,,520348.41,,,
Trend,2019-03-01,IT,Italy,P02,A2P Messaging,Actual,,,,,186044.67,,,
Trend,2019-03-01,IT,Italy,P03,IPX Roaming & Signalling,Actual,,,,,130835.88,,,
Trend,2019-03-01,IT,Italy,P04,IP Transit,Actual,,,,,705250.8,,,
Trend,2019-03-01,IT,Italy,P05,Ethernet & Capacity Services,Actual,,,,,4425123.04,,,
Trend,2019-03-01,IT,Italy,P06,Cloud Connect,Actual,,,,,727192.53,,,
Trend,2019-03-01,IT,Italy,P07,Voice Firewall & Anti-Fraud,Actual,,,,,141305.74,,,
Trend,2019-03-01,NL,Netherlands,P01,International Voice Termination,Actual,,,,,7408034.96,,,
Trend,2019-03-01,NL,Netherlands,P02,A2P Messaging,Actual,,,,,2246084.39,,,
Trend,2019-03-01,NL,Netherlands,P03,IPX Roaming & Signalling,Actual,,,,,2248045.06,,,
Trend,2019-03-01,NL,Netherlands,P04,IP Transit,Actual,,,,,883213.93,,,
Trend,2019-03-01,NL,Netherlands,P05,Ethernet & Capacity Services,Actual,,,,,1844091.23,,,
Trend,2019-03-01,NL,Netherlands,P06,Cloud Connect,Actual,,,,,36632.4,,,
Trend,2019-03-01,NL,Netherlands,P07,Voice Firewall & Anti-Fraud,Actual,,,,,657549.44,,,
Trend,2019-03-01,PL,Poland,P01,International Voice Termination,Actual,,,,,6196641.54,,,
Trend,2019-03-01,PL,Poland,P02,A2P Messaging,Actual,,,,,139623.44,,,
Trend,2019-03-01,PL,Poland,P03,IPX Roaming & Signalling,Actual,,,,,1602901.6,,,
Trend,2019-03-01,PL,Poland,P04,IP Transit,Actual,,,,,563413.63,,,
Trend,2019-03-01,PL,Poland,P05,Ethernet & Capacity Services,Actual,,,,,1993793.91,,,
Trend,2019-03-01,PL,Poland,P06,Cloud Connect,Actual,,,,,22607.76,,,
Trend,2019-03-01,PL,Poland,P07,Voice Firewall & Anti-Fraud,Actual,,,,,193047.78,,,
Trend,2019-03-01,RO,Romania,P01,International Voice Termination,Actual,,,,,481834.3,,,
Trend,2019-03-01,RO,Romania,P03,IPX Roaming & Signalling,Actual,,,,,241437.21,,,
Trend,2019-03-01,RO,Romania,P05,Ethernet & Capacity Services,Actual,,,,,545330.08,,,
Trend,2019-03-01,RO,Romania,P07,Voice Firewall & Anti-Fraud,Actual,,,,,63856.22,,,
Trend,2019-03-01,SK,Slovakia,P01,International Voice Termination,Actual,,,,,731600.51,,,
Trend,2019-03-01,SK,Slovakia,P02,A2P Messaging,Actual,,,,,745762.02,,,
Trend,2019-03-01,SK,Slovakia,P03,IPX Roaming & Signalling,Actual,,,,,488216.9,,,
Trend,2019-03-01,SK,Slovakia,P05,Ethernet & Capacity Services,Actual,,,,,579404.09,,,
Trend,2019-03-01,SK,Slovakia,P07,Voice Firewall & Anti-Fraud,Actual,,,,,48827.74,,,
Trend,2019-04-01,AT,Austria,P01,International Voice Termination,Actual,,,,,2088699.51,,,
Trend,2019-04-01,AT,Austria,P02,A2P Messaging,Actual,,,,,1615250.3,,,
Trend,2019-04-01,AT,Austria,P03,IPX Roaming & Signalling,Actual,,,,,731747.2,,,
Trend,2019-04-01,AT,Austria,P04,IP Transit,Actual,,,,,388426.18,,,
Trend,2019-04-01,AT,Austria,P05,Ethernet & Capacity Services,Actual,,,,,1270502.54,,,
Trend,2019-04-01,AT,Austria,P06,Cloud Connect,Actual,,,,,97059.78,,,
Trend,2019-04-01,AT,Austria,P07,Voice Firewall & Anti-Fraud,Actual,,,,,246602.51,,,
Trend,2019-04-01,CZ,Czechia,P03,IPX Roaming & Signalling,Actual,,,,,61185.69,,,
Trend,2019-04-01,CZ,Czechia,P04,IP Transit,Actual,,,,,98215.24,,,
Trend,2019-04-01,CZ,Czechia,P05,Ethernet & Capacity Services,Actual,,,,,1202770.2,,,
Trend,2019-04-01,CZ,Czechia,P06,Cloud Connect,Actual,,,,,51658.04,,,
Trend,2019-04-01,CZ,Czechia,P07,Voice Firewall & Anti-Fraud,Actual,,,,,15346.87,,,
Trend,2019-04-01,DE,Germany,P01,International Voice Termination,Actual,,,,,10441985.31,,,
Trend,2019-04-01,DE,Germany,P02,A2P Messaging,Actual,,,,,1947123.98,,,
Trend,2019-04-01,DE,Germany,P03,IPX Roaming & Signalling,Actual,,,,,2882835.76,,,
Trend,2019-04-01,DE,Germany,P04,IP Transit,Actual,,,,,2937975.31,,,
Trend,2019-04-01,DE,Germany,P05,Ethernet & Capacity Services,Actual,,,,,5591301.49,,,
Trend,2019-04-01,DE,Germany,P06,Cloud Connect,Actual,,,,,1640573.79,,,
Trend,2019-04-01,DE,Germany,P07,Voice Firewall & Anti-Fraud,Actual,,,,,375849.51,,,
Trend,2019-04-01,ES,Spain,P01,International Voice Termination,Actual,,,,,2682825.76,,,
Trend,2019-04-01,ES,Spain,P02,A2P Messaging,Actual,,,,,3637072.96,,,
Trend,2019-04-01,ES,Spain,P03,IPX Roaming & Signalling,Actual,,,,,1439651.78,,,
Trend,2019-04-01,ES,Spain,P04,IP Transit,Actual,,,,,1544482.45,,,
Trend,2019-04-01,ES,Spain,P05,Ethernet & Capacity Services,Actual,,,,,4293881.15,,,
Trend,2019-04-01,ES,Spain,P06,Cloud Connect,Actual,,,,,659804.46,,,
Trend,2019-04-01,ES,Spain,P07,Voice Firewall & Anti-Fraud,Actual,,,,,660551.58,,,
Trend,2019-04-01,FR,France,P01,International Voice Termination,Actual,,,,,5312530.46,,,
Trend,2019-04-01,FR,France,P02,A2P Messaging,Actual,,,,,4143731.74,,,
Trend,2019-04-01,FR,France,P03,IPX Roaming & Signalling,Actual,,,,,5349203.75,,,
Trend,2019-04-01,FR,France,P04,IP Transit,Actual,,,,,773476.74,,,
Trend,2019-04-01,FR,France,P05,Ethernet & Capacity Services,Actual,,,,,2737938.34,,,
Trend,2019-04-01,FR,France,P06,Cloud Connect,Actual,,,,,684778.05,,,
Trend,2019-04-01,FR,France,P07,Voice Firewall & Anti-Fraud,Actual,,,,,1341013.09,,,
Trend,2019-04-01,GR,Greece,P01,International Voice Termination,Actual,,,,,1961791.01,,,
Trend,2019-04-01,GR,Greece,P02,A2P Messaging,Actual,,,,,768357.36,,,
Trend,2019-04-01,GR,Greece,P03,IPX Roaming & Signalling,Actual,,,,,549562.97,,,
Trend,2019-04-01,GR,Greece,P04,IP Transit,Actual,,,,,243896.78,,,
Trend,2019-04-01,GR,Greece,P05,Ethernet & Capacity Services,Actual,,,,,637179.81,,,
Trend,2019-04-01,GR,Greece,P07,Voice Firewall & Anti-Fraud,Actual,,,,,211652.69,,,
Trend,2019-04-01,HR,Croatia,P05,Ethernet & Capacity Services,Actual,,,,,127302.08,,,
Trend,2019-04-01,HR,Croatia,P06,Cloud Connect,Actual,,,,,33680.79,,,
Trend,2019-04-01,HU,Hungary,P01,International Voice Termination,Actual,,,,,4401991.74,,,
Trend,2019-04-01,HU,Hungary,P02,A2P Messaging,Actual,,,,,462759.73,,,
Trend,2019-04-01,HU,Hungary,P03,IPX Roaming & Signalling,Actual,,,,,886419.2,,,
Trend,2019-04-01,HU,Hungary,P04,IP Transit,Actual,,,,,39368.57,,,
Trend,2019-04-01,HU,Hungary,P05,Ethernet & Capacity Services,Actual,,,,,666891.0,,,
Trend,2019-04-01,HU,Hungary,P06,Cloud Connect,Actual,,,,,22862.01,,,
Trend,2019-04-01,HU,Hungary,P07,Voice Firewall & Anti-Fraud,Actual,,,,,272867.92,,,
Trend,2019-04-01,IT,Italy,P01,International Voice Termination,Actual,,,,,513624.73,,,
Trend,2019-04-01,IT,Italy,P02,A2P Messaging,Actual,,,,,198831.58,,,
Trend,2019-04-01,IT,Italy,P03,IPX Roaming & Signalling,Actual,,,,,148807.23,,,
Trend,2019-04-01,IT,Italy,P04,IP Transit,Actual,,,,,694976.55,,,
Trend,2019-04-01,IT,Italy,P05,Ethernet & Capacity Services,Actual,,,,,4535427.72,,,
