customer_id,customer_name,country_code,segment,contract_type,account_size_factor,relationship_start,churn_month,status,is_new_business,customer_tier
CUS0059,Hyperscaler & OTT IT-04,IT,Hyperscaler & OTT,Committed Volume,2.318,2017-07,,Active,False,Mid
CUS0060,Tier-1 Carrier ES-09,ES,Tier-1 Carrier,Committed Volume,4.0115,2016-08,,Active,False,Key Account
CUS0061,MVNO NL-07,NL,MVNO,Committed Volume,2.0135,2018-04,,Active,False,Mid
CUS0062,MVNO RO-02,RO,MVNO,Spot / Pay-as-you-go,1.3114,2014-10,2023-05,Churned,False,Mid
CUS0063,Tier-2 Carrier ES-10,ES,Tier-2 Carrier,Framework Agreement,1.5333,2016-10,,Active,False,Mid
CUS0064,Hyperscaler & OTT DE-13,DE,Hyperscaler & OTT,Committed Volume,7.0534,2015-03,,Active,False,Key Account
CUS0065,Tier-2 Carrier DE-14,DE,Tier-2 Carrier,Committed Volume,1.9584,2013-03,,Active,False,Mid
CUS0066,Enterprise Aggregator FR-10,FR,Enterprise Aggregator,Spot / Pay-as-you-go,1.461,2014-02,,Active,False,Mid
CUS0067,Tier-2 Carrier IT-05,IT,Tier-2 Carrier,Committed Volume,1.609,2015-01,,Active,False,Mid
CUS0068,Tier-2 Carrier DE-15,DE,Tier-2 Carrier,Committed Volume,5.0221,2013-08,2024-01,Churned,False,Key Account
CUS0069,Tier-2 Carrier CZ-02,CZ,Tier-2 Carrier,Committed Volume,0.3559,2011-04,2025-04,Churned,False,Small
CUS0070,Messaging Aggregator SK-03,SK,Messaging Aggregator,Framework Agreement,3.3876,2017-01,,Active,False,Key Account
CUS0071,Enterprise Aggregator HR-01,HR,Enterprise Aggregator,Framework Agreement,1.0005,2012-01,,Active,False,Mid
CUS0072,Tier-2 Carrier PL-06,PL,Tier-2 Carrier,Framework Agreement,1.3101,2011-08,,Active,False,Mid
CUS0073,Tier-2 Carrier ES-11,ES,Tier-2 Carrier,Committed Volume,2.4537,2024-06,,Active,True,Mid
CUS0074,Enterprise Aggregator ES-12,ES,Enterprise Aggregator,Committed Volume,1.1846,2014-09,,Active,False,Mid
CUS0075,Messaging Aggregator NL-08,NL,Messaging Aggregator,Spot / Pay-as-you-go,0.3081,2013-01,,Active,False,Small
CUS0076,Tier-2 Carrier ES-13,ES,Tier-2 Carrier,Spot / Pay-as-you-go,2.1254,2020-03,,Active,True,Mid
CUS0077,Hyperscaler & OTT ES-14,ES,Hyperscaler & OTT,Framework Agreement,7.8306,2011-02,,Active,False,Key Account
CUS0078,Tier-2 Carrier FR-11,FR,Tier-2 Carrier,Committed Volume,2.6016,2011-12,,Active,False,Mid
CUS0079,Hyperscaler & OTT DE-16,DE,Hyperscaler & OTT,Committed Volume,2.5882,2017-07,,Active,False,Mid
CUS0080,Hyperscaler & OTT HU-06,HU,Hyperscaler & OTT,Spot / Pay-as-you-go,4.0324,2021-10,,Active,True,Key Account
CUS0081,Tier-2 Carrier AT-04,AT,Tier-2 Carrier,Spot / Pay-as-you-go,0.546,2015-10,,Active,False,Small
CUS0082,MVNO SK-04,SK,MVNO,Committed Volume,1.0504,2021-06,,Active,True,Mid
CUS0083,Tier-2 Carrier RO-03,RO,Tier-2 Carrier,Framework Agreement,2.5205,2017-04,,Active,False,Mid
CUS0084,Tier-2 Carrier SK-05,SK,Tier-2 Carrier,Committed Volume,2.1957,2016-05,2022-03,Churned,False,Mid
CUS0085,MVNO CZ-03,CZ,MVNO,Committed Volume,0.5098,2015-01,,Active,False,Small
CUS0086,Tier-2 Carrier IT-06,IT,Tier-2 Carrier,Framework Agreement,0.7234,2017-09,,Active,False,Small
CUS0087,Tier-1 Carrier NL-09,NL,Tier-1 Carrier,Framework Agreement,6.9531,2013-02,,Active,False,Key Account
CUS0088,Enterprise Aggregator ES-15,ES,Enterprise Aggregator,Spot / Pay-as-you-go,1.5662,2012-06,,Active,False,Mid
CUS0089,Tier-2 Carrier RO-04,RO,Tier-2 Carrier,Framework Agreement,1.3409,2015-11,,Active,False,Mid
CUS0090,Enterprise Aggregator DE-17,DE,Enterprise Aggregator,Framework Agreement,1.1056,2016-03,,Active,False,Mid
CUS0091,Hyperscaler & OTT ES-16,ES,Hyperscaler & OTT,Framework Agreement,3.1132,2021-09,,Active,True,Key Account
CUS0092,Messaging Aggregator HU-07,HU,Messaging Aggregator,Spot / Pay-as-you-go,1.5397,2013-02,,Active,False,Mid
CUS0093,Enterprise Aggregator PL-07,PL,Enterprise Aggregator,Framework Agreement,0.391,2012-07,,Active,False,Small
CUS0094,MVNO IT-07,IT,MVNO,Framework Agreement,1.7284,2021-05,,Active,True,Mid
CUS0095,MVNO HU-08,HU,MVNO,Committed Volume,0.5183,2011-12,,Active,False,Small
CUS0096,Messaging Aggregator NL-10,NL,Messaging Aggregator,Committed Volume,0.5058,2020-07,,Active,True,Small
CUS0097,Hyperscaler & OTT DE-18,DE,Hyperscaler & OTT,Spot / Pay-as-you-go,3.7084,2013-08,,Active,False,Key Account
CUS0098,Tier-2 Carrier ES-17,ES,Tier-2 Carrier,Committed Volume,2.5344,2013-09,,Active,False,Mid
CUS0099,Tier-2 Carrier ES-18,ES,Tier-2 Carrier,Committed Volume,0.9798,2011-04,,Active,False,Small
CUS0100,Messaging Aggregator FR-12,FR,Messaging Aggregator,Framework Agreement,3.1761,2011-02,,Active,False,Key Account
CUS0101,Enterprise Aggregator FR-13,FR,Enterprise Aggregator,Framework Agreement,0.569,2012-02,,Active,False,Small
CUS0102,Messaging Aggregator IT-08,IT,Messaging Aggregator,Committed Volume,0.4354,2013-05,,Active,False,Small
CUS0103,Messaging Aggregator PL-08,PL,Messaging Aggregator,Committed Volume,2.4622,2022-10,,Active,True,Mid
CUS0104,Enterprise Aggregator AT-05,AT,Enterprise Aggregator,Framework Agreement,1.6791,2012-02,2021-07,Churned,False,Mid
CUS0105,Messaging Aggregator IT-09,IT,Messaging Aggregator,Framework Agreement,1.4379,2022-07,,Active,True,Mid
CUS0106,Tier-2 Carrier FR-14,FR,Tier-2 Carrier,Framework Agreement,2.3491,2014-06,,Active,False,Mid
CUS0107,MVNO DE-19,DE,MVNO,Committed Volume,1.0268,2016-10,,Active,False,Mid
CUS0108,Enterprise Aggregator HU-09,HU,Enterprise Aggregator,Framework Agreement,0.6809,2021-09,,Active,True,Small
CUS0109,Tier-2 Carrier GR-04,GR,Tier-2 Carrier,Committed Volume,1.7378,2014-02,,Active,False,Mid
CUS0110,Tier-2 Carrier GR-05,GR,Tier-2 Carrier,Framework Agreement,2.5664,2019-07,,Active,True,Mid
CUS0111,Hyperscaler & OTT PL-09,PL,Hyperscaler & OTT,Committed Volume,1.4462,2020-06,,Active,True,Mid
CUS0112,Hyperscaler & OTT IT-10,IT,Hyperscaler & OTT,Spot / Pay-as-you-go,8.6685,2018-07,,Active,False,Key Account
CUS0113,Hyperscaler & OTT DE-20,DE,Hyperscaler & OTT,Committed Volume,2.4605,2017-03,,Active,False,Mid
CUS0114,MVNO HU-10,HU,MVNO,Framework Agreement,1.6735,2013-06,,Active,False,Mid
CUS0115,Messaging Aggregator ES-19,ES,Messaging Aggregator,Committed Volume,0.8111,2013-10,,Active,False,Small
CUS0116,Hyperscaler & OTT PL-10,PL,Hyperscaler & OTT,Committed Volume,5.933,2014-12,,Active,False,Key Account
CUS0117,Enterprise Aggregator FR-15,FR,Enterprise Aggregator,Framework Agreement,2.5139,2013-11,,Active,False,Mid
CUS0118,Tier-1 Carrier CZ-04,CZ,Tier-1 Carrier,Framework Agreement,6.535,2015-04,,Active,False,Key Account
CUS0119,Messaging Aggregator ES-20,ES,Messaging Aggregator,Framework Agreement,0.12,2014-02,,Active,False,Small
CUS0120,Enterprise Aggregator FR-16,FR,Enterprise Aggregator,Committed Volume,0.4765,2016-09,,Active,False,Small
