year_month,customer_id,country_code,product_id,volume_units,unit_price_eur,revenue_eur,cost_eur,margin_eur,margin_pct
2019-01,CUS0057,DE,P01,158137833.88,0.017554,2775994.7,2434079.85,341914.84,0.1232
2019-01,CUS0065,DE,P01,116346942.4,0.017778,2068405.32,1820712.14,247693.18,0.1198
2019-01,CUS0005,DE,P02,25197032.84,0.038392,967363.67,795696.55,171667.12,0.1775
2019-01,CUS0090,DE,P02,16341340.12,0.041278,674531.69,556914.52,117617.17,0.1744
2019-01,CUS0019,DE,P03,156272.59,1.7244,269476.44,199016.14,70460.3,0.2615
2019-01,CUS0057,DE,P03,338155.35,1.749333,591546.18,429745.48,161800.7,0.2735
2019-01,CUS0068,DE,P03,667065.87,1.813483,1209712.84,889378.36,320334.48,0.2648
2019-01,CUS0107,DE,P03,127310.23,1.819344,231621.05,170201.14,61419.91,0.2652
2019-01,CUS0042,DE,P04,3147322.19,0.378113,1190043.62,813071.75,376971.87,0.3168
2019-01,CUS0049,DE,P04,127428.61,0.425265,54190.98,37109.08,17081.9,0.3152
2019-01,CUS0079,DE,P04,1284147.7,0.37173,477356.19,328881.36,148474.83,0.311
2019-01,CUS0090,DE,P04,535416.18,0.413077,221168.07,152782.21,68385.85,0.3092
2019-01,CUS0097,DE,P04,1700446.27,0.359174,610756.04,420283.63,190472.41,0.3119
2019-01,CUS0113,DE,P04,1084422.33,0.365572,396434.94,272966.71,123468.22,0.3114
2019-01,CUS0019,DE,P05,475037.55,1.07038,508470.63,331453.88,177016.75,0.3481
2019-01,CUS0027,DE,P05,371559.94,1.051706,390771.66,258997.97,131773.68,0.3372
2019-01,CUS0047,DE,P05,694600.42,1.041103,723150.36,467158.7,255991.66,0.354
2019-01,CUS0049,DE,P05,105834.49,1.09518,115907.84,76141.15,39766.69,0.3431
2019-01,CUS0057,DE,P05,1057490.53,1.055261,1115928.93,748559.4,367369.53,0.3292
2019-01,CUS0090,DE,P05,422702.1,1.085223,458725.96,301322.48,157403.48,0.3431
2019-01,CUS0097,DE,P05,1552181.09,0.929881,1443343.01,936275.9,507067.11,0.3513
2019-01,CUS0113,DE,P05,1040893.66,0.940037,978478.61,636748.42,341730.19,0.3492
2019-01,CUS0064,DE,P06,310001.4,2.05143,635946.1,379508.21,256437.88,0.4032
2019-01,CUS0079,DE,P06,115467.37,2.03103,234517.67,143026.78,91490.89,0.3901
2019-01,CUS0090,DE,P06,48362.41,2.385153,115351.74,68595.66,46756.08,0.4053
2019-01,CUS0097,DE,P06,163469.37,2.100923,343436.51,205455.35,137981.15,0.4018
2019-01,CUS0113,DE,P06,111214.75,2.043338,227249.35,133840.59,93408.75,0.411
2019-01,CUS0006,DE,P07,845908.42,0.081263,68740.93,34462.53,34278.4,0.4987
2019-01,CUS0027,DE,P07,673164.3,0.083211,56014.45,27479.31,28535.14,0.5094
2019-01,CUS0057,DE,P07,1953156.73,0.087924,171728.96,83666.65,88062.31,0.5128
2019-01,CUS0107,DE,P07,767086.27,0.088683,68027.52,32875.75,35151.77,0.5167
2019-01,CUS0012,ES,P01,84511115.89,0.015404,1301789.31,1140009.4,161779.92,0.1243
2019-01,CUS0053,ES,P01,50190886.24,0.015108,758273.33,666713.14,91560.19,0.1207
2019-01,CUS0099,ES,P01,41499594.69,0.014741,611753.98,534795.17,76958.82,0.1258
2019-01,CUS0010,ES,P02,48261955.03,0.032163,1552233.54,1254908.23,297325.31,0.1915
2019-01,CUS0030,ES,P02,6928779.53,0.034512,239128.28,196828.92,42299.36,0.1769
2019-01,CUS0031,ES,P02,18413262.86,0.033967,625437.27,512233.3,113203.97,0.181
2019-01,CUS0074,ES,P02,12608971.88,0.034479,434747.22,354032.93,80714.3,0.1857
2019-01,CUS0115,ES,P02,8347580.12,0.033292,277906.47,226080.44,51826.03,0.1865
2019-01,CUS0119,ES,P02,1317219.05,0.032692,43062.03,35124.06,7937.97,0.1843
2019-01,CUS0012,ES,P03,196219.5,1.525022,299239.07,217898.04,81341.03,0.2718
2019-01,CUS0051,ES,P03,373712.28,1.436354,536783.03,396582.52,140200.51,0.2612
2019-01,CUS0053,ES,P03,105758.12,1.503239,158979.69,116756.03,42223.66,0.2656
2019-01,CUS0099,ES,P03,99142.94,1.48291,147020.11,106998.86,40021.24,0.2722
2019-01,CUS0030,ES,P04,243120.18,0.347795,84555.94,57341.72,27214.22,0.3218
2019-01,CUS0060,ES,P04,1388714.37,0.328092,455626.11,318705.05,136921.06,0.3005
2019-01,CUS0074,ES,P04,419865.88,0.352039,147809.0,101287.78,46521.22,0.3147
2019-01,CUS0077,ES,P04,2725888.64,0.305575,832962.56,571567.31,261395.25,0.3138
2019-01,CUS0030,ES,P05,202219.09,0.924246,186900.1,123414.5,63485.6,0.3397
2019-01,CUS0053,ES,P05,346721.64,0.878946,304749.43,196874.18,107875.25,0.354
2019-01,CUS0063,ES,P05,453360.03,0.876031,397157.46,261818.29,135339.18,0.3408
2019-01,CUS0074,ES,P05,355484.71,0.914831,325208.46,213285.12,111923.34,0.3442
2019-01,CUS0077,ES,P05,2519466.25,0.793489,1999169.0,1303321.81,695847.2,0.3481
2019-01,CUS0088,ES,P05,460407.66,0.910325,419120.44,272501.46,146618.98,0.3498
2019-01,CUS0098,ES,P05,717053.55,0.898774,644468.95,418692.48,225776.47,0.3503
2019-01,CUS0099,ES,P05,286470.88,0.863557,247384.03,161528.77,85855.26,0.3471
2019-01,CUS0030,ES,P06,22687.8,2.043227,46356.33,27536.51,18819.82,0.406
2019-01,CUS0031,ES,P06,51740.43,1.983271,102615.32,61749.51,40865.81,0.3982
2019-01,CUS0077,ES,P06,256973.31,1.699272,436667.68,261627.94,175039.74,0.4009
2019-01,CUS0010,ES,P07,2518479.22,0.070419,177349.72,87233.67,90116.05,0.5081
2019-01,CUS0012,ES,P07,1232834.56,0.073485,90595.23,44301.55,46293.68,0.511
2019-01,CUS0038,ES,P07,2519722.08,0.069166,174278.5,84476.77,89801.74,0.5153
2019-01,CUS0053,ES,P07,641767.02,0.073692,47293.29,22806.3,24486.99,0.5178
2019-01,CUS0063,ES,P07,930289.57,0.072962,67876.19,33076.43,34799.76,0.5127
2019-01,CUS0099,ES,P07,584631.99,0.071415,41751.67,20391.22,21360.45,0.5116
2019-01,CUS0115,ES,P07,453418.25,0.069942,31712.78,15519.93,16192.85,0.5106
2019-01,CUS0007,FR,P01,122990057.58,0.016178,1989676.62,1744152.28,245524.34,0.1234
2019-01,CUS0013,FR,P01,108859629.13,0.016822,1831205.07,1624078.3,207126.77,0.1131
2019-01,CUS0106,FR,P01,126155721.76,0.016465,2077094.58,1828053.76,249040.82,0.1199
2019-01,CUS0066,FR,P02,17934328.04,0.037476,672108.02,552426.86,119681.16,0.1781
2019-01,CUS0100,FR,P02,40516035.55,0.035033,1419386.25,1162033.5,257352.75,0.1813
2019-01,CUS0117,FR,P02,30301455.09,0.036484,1105506.56,898236.31,207270.25,0.1875
2019-01,CUS0120,FR,P02,6097364.38,0.035685,217585.37,175846.96,41738.41,0.1918
2019-01,CUS0004,FR,P03,115569.44,1.629537,188324.64,136688.44,51636.2,0.2742
2019-01,CUS0007,FR,P03,271584.0,1.594253,432973.63,313977.19,118996.44,0.2748
2019-01,CUS0013,FR,P03,252999.86,1.679811,424991.97,313087.06,111904.91,0.2633
2019-01,CUS0036,FR,P03,1022826.09,1.53389,1568903.11,1149368.15,419534.97,0.2674
2019-01,CUS0048,FR,P03,354292.89,1.63954,580877.21,423974.74,156902.47,0.2701
2019-01,CUS0078,FR,P03,293846.41,1.61374,474191.57,340128.61,134062.96,0.2827
2019-01,CUS0106,FR,P03,247412.31,1.612284,398898.95,289636.95,109262.01,0.2739
2019-01,CUS0026,FR,P04,92437.63,0.36613,33844.19,23474.47,10369.72,0.3064
2019-01,CUS0066,FR,P04,602795.95,0.378665,228258.02,158025.78,70232.24,0.3077
2019-01,CUS0101,FR,P04,240912.82,0.389896,93931.0,64807.88,29123.12,0.31
2019-01,CUS0117,FR,P04,1010435.97,0.392221,396313.83,271385.97,124927.87,0.3152
2019-01,CUS0004,FR,P05,356889.41,0.970112,346222.56,227230.25,118992.31,0.3437
2019-01,CUS0007,FR,P05,867598.86,0.949125,823459.41,543241.78,280217.63,0.3403
2019-01,CUS0026,FR,P05,79734.51,0.990444,78972.58,52014.35,26958.23,0.3414
2019-01,CUS0066,FR,P05,522938.45,1.008555,527411.93,343651.43,183760.5,0.3484
2019-01,CUS0117,FR,P05,897998.65,1.03667,930927.97,608908.72,322019.25,0.3459
2019-01,CUS0120,FR,P05,169755.25,1.009206,171318.08,111475.46,59842.61,0.3493
2019-01,CUS0026,FR,P06,8249.47,2.179464,17979.42,10608.1,7371.32,0.41
2019-01,CUS0034,FR,P06,109180.06,1.942464,212078.35,126390.86,85687.49,0.404
2019-01,CUS0066,FR,P06,53291.09,2.1677,115519.11,70321.73,45197.38,0.3913
2019-01,CUS0101,FR,P06,19902.67,2.15668,42923.69,25502.7,17420.98,0.4059
2019-01,CUS0117,FR,P06,94497.94,2.13612,201858.94,118717.73,83141.21,0.4119
2019-01,CUS0120,FR,P06,18097.54,2.17469,39356.54,23531.79,15824.75,0.4021
2019-01,CUS0004,FR,P07,653407.24,0.079847,52172.52,25825.05,26347.47,0.505
2019-01,CUS0007,FR,P07,1512907.95,0.078193,118299.27,58707.08,59592.19,0.5037
2019-01,CUS0024,FR,P07,2226921.55,0.074422,165732.97,81657.64,84075.33,0.5073
2019-01,CUS0036,FR,P07,5852699.37,0.073338,429226.6,207436.01,221790.59,0.5167
2019-01,CUS0048,FR,P07,2172837.18,0.079647,173060.73,83477.12,89583.61,0.5176
2019-01,CUS0058,FR,P07,419044.52,0.082119,34411.37,16532.86,17878.5,0.5196
2019-01,CUS0078,FR,P07,1640575.0,0.078642,129018.43,62680.32,66338.11,0.5142
2019-01,CUS0100,FR,P07,1970741.73,0.077899,153519.06,75419.04,78100.01,0.5087
2019-01,CUS0025,GR,P01,112530081.24,0.013323,1499193.02,1312378.8,186814.22,0.1246
2019-01,CUS0109,GR,P01,48701623.77,0.014023,682949.58,609108.51,73841.07,0.1081
2019-01,CUS0046,GR,P02,20245563.39,0.029751,602315.81,486774.45,115541.36,0.1918
2019-01,CUS0025,GR,P03,235211.92,1.320824,310673.48,227454.35,83219.13,0.2679
2019-01,CUS0109,GR,P03,97288.98,1.352598,131592.92,95504.09,36088.84,0.2742
2019-01,CUS0025,GR,P04,856807.27,0.310888,266370.9,184290.17,82080.73,0.3081
2019-01,CUS0035,GR,P05,404169.58,0.827351,334390.17,218634.27,115755.9,0.3462
2019-01,CUS0109,GR,P05,324702.31,0.81332,264087.03,172105.22,91981.81,0.3483
2019-01,CUS0025,GR,P07,1370855.21,0.06448,88392.61,44375.49,44017.12,0.498
2019-01,CUS0046,GR,P07,1183426.88,0.066332,78498.97,37836.33,40662.64,0.518
2019-01,CUS0109,GR,P07,621691.81,0.066549,41372.9,20347.67,21025.23,0.5082
2019-01,CUS0071,HR,P05,164958.39,0.817025,134775.18,88832.92,45942.26,0.3409
2019-01,CUS0071,HR,P06,18202.21,1.77225,32258.85,19367.88,12890.97,0.3996
2019-01,CUS0018,HU,P01,117917805.25,0.012358,1457212.09,1284014.62,173197.47,0.1189
2019-01,CUS0043,HU,P01,63321418.76,0.01386,877628.48,768480.09,109148.39,0.1244
2019-01,CUS0055,HU,P01,55260662.18,0.014062,777068.1,683564.63,93503.47,0.1203
2019-01,CUS0056,HU,P01,37688979.67,0.01361,512944.27,451481.37,61462.91,0.1198
2019-01,CUS0095,HU,P01,12962202.13,0.014121,183038.12,160776.02,22262.1,0.1216
2019-01,CUS0114,HU,P01,43899400.45,0.013798,605736.65,537406.7,68329.95,0.1128
2019-01,CUS0001,HU,P02,3690540.39,0.02984,110127.35,89753.24,20374.11,0.185
2019-01,CUS0092,HU,P02,9668966.66,0.029957,289652.08,238221.07,51431.0,0.1776
2019-01,CUS0018,HU,P03,245719.35,1.280604,314669.07,230561.1,84107.97,0.2673
2019-01,CUS0043,HU,P03,149546.15,1.398718,209172.87,154814.85,54358.02,0.2599
2019-01,CUS0056,HU,P03,89697.68,1.37141,123012.3,89067.2,33945.1,0.2759
2019-01,CUS0095,HU,P03,28783.88,1.393769,40118.07,29548.17,10569.9,0.2635
2019-01,CUS0001,HU,P04,110122.21,0.325785,35876.14,24632.62,11243.51,0.3134
2019-01,CUS0001,HU,P05,104325.6,0.854819,89179.49,57761.93,31417.56,0.3523
2019-01,CUS0018,HU,P05,742752.41,0.755998,561519.5,364841.32,196678.18,0.3503
2019-01,CUS0001,HU,P06,12293.15,1.821736,22394.87,13076.84,9318.03,0.4161
2019-01,CUS0018,HU,P07,1686127.29,0.061983,104511.24,51728.69,52782.56,0.505
2019-01,CUS0055,HU,P07,689081.04,0.066871,46079.21,22855.99,23223.23,0.504
2019-01,CUS0056,HU,P07,496456.87,0.069634,34570.42,17248.2,17322.22,0.5011
2019-01,CUS0092,HU,P07,531206.27,0.063619,33794.68,16255.42,17539.26,0.519
2019-01,CUS0114,HU,P07,553146.16,0.068289,37773.73,18469.53,19304.2,0.511
2019-01,CUS0086,IT,P01,34161873.37,0.015582,532322.02,466135.51,66186.51,0.1243
2019-01,CUS0102,IT,P02,5364767.8,0.032635,175076.68,142881.72,32194.95,0.1839
2019-01,CUS0086,IT,P03,77145.88,1.549108,119507.33,87582.6,31924.74,0.2671
2019-01,CUS0037,IT,P04,1515738.54,0.316672,479992.46,332507.29,147485.17,0.3073
2019-01,CUS0059,IT,P04,894539.48,0.310602,277845.87,192856.13,84989.73,0.3059
2019-01,CUS0037,IT,P05,1137994.56,0.826213,940225.42,621372.68,318852.74,0.3391
2019-01,CUS0059,IT,P05,765109.22,0.814747,623370.39,408138.46,215231.93,0.3453
2019-01,CUS0067,IT,P05,525861.64,0.920975,484305.52,313952.4,170353.11,0.3517
2019-01,CUS0086,IT,P05,228099.16,0.911053,207810.36,135448.33,72362.03,0.3482
2019-01,CUS0112,IT,P05,2918038.53,0.851442,2484541.83,1608751.2,875790.63,0.3525
2019-01,CUS0059,IT,P06,85116.85,1.766938,150396.19,90796.8,59599.39,0.3963
2019-01,CUS0112,IT,P06,317829.27,1.81626,577260.61,344952.78,232307.83,0.4024
2019-01,CUS0050,IT,P07,1183139.99,0.073215,86623.32,41929.75,44693.57,0.516
2019-01,CUS0086,IT,P07,439087.18,0.073386,32222.86,15575.87,16646.98,0.5166
2019-01,CUS0102,IT,P07,268015.06,0.072144,19335.64,9687.47,9648.16,0.499
2019-01,CUS0028,NL,P01,78612647.89,0.016908,1329186.99,1167607.05,161579.94,0.1216
2019-01,CUS0039,NL,P01,33892965.74,0.01714,580923.12,507668.15,73254.97,0.1261
2019-01,CUS0061,NL,P01,72283243.72,0.017435,1260248.99,1111002.83,149246.17,0.1184
2019-01,CUS0087,NL,P01,259652036.48,0.016063,4170902.37,3669097.21,501805.16,0.1203
2019-01,CUS0003,NL,P02,4786311.01,0.038447,184020.03,148421.43,35598.6,0.1934
2019-01,CUS0032,NL,P02,41474187.14,0.0373,1546972.0,1276375.37,270596.63,0.1749
2019-01,CUS0040,NL,P02,1028160.15,0.039691,40808.23,33197.8,7610.43,0.1865
2019-01,CUS0075,NL,P02,2915544.03,0.036863,107477.1,87399.68,20077.42,0.1868
2019-01,CUS0028,NL,P03,172305.07,1.729578,298015.06,219239.1,78775.96,0.2643
2019-01,CUS0044,NL,P03,381725.48,1.554167,593265.07,433728.81,159536.26,0.2689
2019-01,CUS0061,NL,P03,157001.58,1.731106,271786.38,202356.9,69429.48,0.2555
2019-01,CUS0087,NL,P03,524402.61,1.613655,846204.95,626453.74,219751.22,0.2597
2019-01,CUS0003,NL,P04,162071.14,0.399029,64671.04,44580.88,20090.16,0.3107
2019-01,CUS0087,NL,P04,2247688.35,0.367664,826393.11,568777.11,257616.0,0.3117
2019-01,CUS0003,NL,P05,150151.75,1.059692,159114.59,103920.77,55193.82,0.3469
2019-01,CUS0087,NL,P05,1709567.0,0.966723,1652678.29,1077753.44,574924.85,0.3479
2019-01,CUS0003,NL,P06,14388.35,2.3163,33327.74,20117.03,13210.71,0.3964
2019-01,CUS0028,NL,P07,1025965.8,0.082383,84522.55,41311.7,43210.85,0.5112
2019-01,CUS0032,NL,P07,2369582.72,0.080539,190844.24,94650.3,96193.94,0.504
2019-01,CUS0061,NL,P07,958640.69,0.085952,82396.65,39956.66,42439.99,0.5151
2019-01,CUS0075,NL,P07,148612.69,0.079741,11850.47,5693.13,6157.34,0.5196
2019-01,CUS0087,NL,P07,3154075.75,0.076722,241987.77,118030.53,123957.24,0.5122
2019-01,CUS0014,PL,P01,28664548.66,0.013955,400024.24,350520.18,49504.06,0.1238
2019-01,CUS0015,PL,P01,62244408.19,0.014161,881412.16,773617.26,107794.91,0.1223
2019-01,CUS0016,PL,P01,12101823.39,0.013602,164605.79,144227.9,20377.89,0.1238
2019-01,CUS0041,PL,P01,131441820.4,0.013583,1785350.54,1571966.68,213383.86,0.1195
2019-01,CUS0054,PL,P01,180296220.12,0.013817,2491098.07,2171226.24,319871.84,0.1284
2019-01,CUS0072,PL,P01,55220714.75,0.01369,755960.42,659628.62,96331.8,0.1274
2019-01,CUS0093,PL,P02,3836987.23,0.031993,122756.29,100522.83,22233.46,0.1811
2019-01,CUS0014,PL,P03,63272.75,1.345466,85131.34,62594.11,22537.24,0.2647
2019-01,CUS0015,PL,P03,134213.3,1.41715,190200.39,138667.16,51533.23,0.2709
2019-01,CUS0041,PL,P03,279077.26,1.336052,372861.82,276680.24,96181.59,0.258
2019-01,CUS0054,PL,P03,357993.22,1.358478,486326.05,356518.46,129807.59,0.2669
2019-01,CUS0072,PL,P03,115138.16,1.386082,159590.93,117639.73,41951.19,0.2629
2019-01,CUS0116,PL,P04,1929961.61,0.278458,537413.39,369197.84,168215.55,0.313
2019-01,CUS0014,PL,P05,201899.5,0.803368,162199.52,104903.21,57296.31,0.3532
2019-01,CUS0016,PL,P05,82708.48,0.835357,69091.08,45238.25,23852.83,0.3452
2019-01,CUS0041,PL,P05,890039.22,0.800385,712374.25,467610.95,244763.29,0.3436
2019-01,CUS0054,PL,P05,1056509.28,0.831885,878893.87,578884.68,300009.19,0.3413
2019-01,CUS0093,PL,P05,105381.66,0.836793,88182.64,56827.95,31354.68,0.3556
2019-01,CUS0093,PL,P06,11836.81,1.773621,20994.02,12424.39,8569.63,0.4082
2019-01,CUS0014,PL,P07,391924.19,0.067744,26550.66,13056.71,13493.95,0.5082
2019-01,CUS0041,PL,P07,1622529.32,0.066531,107948.87,52856.75,55092.13,0.5104
2019-01,CUS0072,PL,P07,689049.71,0.066472,45802.25,22255.54,23546.7,0.5141
2019-01,CUS0062,RO,P01,38876323.08,0.012447,483888.43,426279.53,57608.91,0.1191
2019-01,CUS0062,RO,P03,82701.0,1.309759,108318.34,80411.39,27906.95,0.2576
2019-01,CUS0089,RO,P03,82938.0,1.254099,104012.49,75919.14,28093.34,0.2701
2019-01,CUS0083,RO,P05,514548.11,0.731544,376414.44,242019.44,134394.99,0.357
2019-01,CUS0089,RO,P05,282560.79,0.721724,203930.8,131279.34,72651.45,0.3563
2019-01,CUS0062,RO,P07,536576.12,0.061905,33216.73,16292.77,16923.96,0.5095
2019-01,CUS0089,RO,P07,489608.92,0.059482,29122.9,13956.95,15165.95,0.5208
2019-01,CUS0033,SK,P01,49356467.43,0.014518,716554.68,629883.83,86670.85,0.121
2019-01,CUS0070,SK,P02,22458442.38,0.032165,722384.39,587378.26,135006.13,0.1869
2019-01,CUS0011,SK,P03,67490.08,1.495586,100937.2,73883.64,27053.56,0.268
2019-01,CUS0033,SK,P03,99086.71,1.447835,143461.18,106073.7,37387.48,0.2606
2019-01,CUS0084,SK,P03,113793.04,1.435786,163382.45,118961.31,44421.14,0.2719
2019-01,CUS0033,SK,P05,348579.43,0.857999,299080.76,196114.76,102966.0,0.3443
2019-01,CUS0084,SK,P05,383255.3,0.876964,336101.17,224663.32,111437.85,0.3316
2019-01,CUS0084,SK,P07,694242.09,0.06829,47409.52,23427.6,23981.91,0.5058
2019-02,CUS0045,AT,P01,112200456.34,0.016759,1880323.73,1659928.44,220395.29,0.1172
2019-02,CUS0008,AT,P02,18279592.9,0.03716,679269.24,554604.28,124664.96,0.1835
2019-02,CUS0022,AT,P02,7784982.6,0.037232,289852.54,236786.83,53065.71,0.1831
2019-02,CUS0104,AT,P02,13059247.15,0.040042,522918.31,424908.73,98009.58,0.1874
2019-02,CUS0045,AT,P03,281818.83,1.625209,458014.61,330571.2,127443.42,0.2783
2019-02,CUS0081,AT,P03,32770.5,1.714398,56181.66,40777.66,15404.0,0.2742
2019-02,CUS0045,AT,P04,1079363.15,0.361342,390019.19,269121.29,120897.9,0.31
2019-02,CUS0045,AT,P05,888598.9,0.953907,847640.74,548884.95,298755.79,0.3525
2019-02,CUS0104,AT,P05,338444.61,1.063647,359985.44,235271.41,124714.03,0.3464
2019-02,CUS0104,AT,P06,38097.76,2.374524,90464.05,54305.66,36158.39,0.3997
2019-02,CUS0008,AT,P07,889835.01,0.08173,72726.13,35885.46,36840.66,0.5066
2019-02,CUS0045,AT,P07,1771490.06,0.081104,143674.76,70346.05,73328.71,0.5104
2019-02,CUS0081,AT,P07,219796.78,0.084444,18560.51,9034.63,9525.88,0.5132
2019-02,CUS0085,CZ,P03,34585.66,1.536452,53139.22,38804.71,14334.51,0.2698
2019-02,CUS0002,CZ,P04,328530.81,0.286302,94059.08,64557.48,29501.61,0.3136
2019-02,CUS0069,CZ,P05,68906.64,0.865884,59665.15,38179.26,21485.89,0.3601
2019-02,CUS0118,CZ,P05,1315287.1,0.793019,1043047.22,685161.14,357886.09,0.3431
2019-02,CUS0002,CZ,P06,27197.54,1.745412,47470.91,28088.24,19382.67,0.4083
2019-02,CUS0085,CZ,P07,194976.73,0.073006,14234.5,7024.67,7209.82,0.5065
2019-02,CUS0020,DE,P01,21418764.1,0.018178,389348.81,343340.19,46008.62,0.1182
2019-02,CUS0042,DE,P01,357551395.7,0.016607,5938001.48,5210447.11,727554.37,0.1225
2019-02,CUS0057,DE,P01,144484818.3,0.017599,2542721.15,2212564.13,330157.02,0.1298
2019-02,CUS0065,DE,P01,97879756.83,0.017612,1723891.6,1521857.44,202034.16,0.1172
2019-02,CUS0005,DE,P02,28306067.58,0.038189,1080988.15,873926.82,207061.33,0.1915
2019-02,CUS0090,DE,P02,15212277.16,0.040861,621581.59,500957.63,120623.96,0.1941
2019-02,CUS0019,DE,P03,148923.56,1.720393,256207.03,192246.22,63960.81,0.2496
2019-02,CUS0057,DE,P03,374916.36,1.764262,661450.53,487161.34,174289.19,0.2635
2019-02,CUS0068,DE,P03,637908.08,1.77643,1133199.07,822904.31,310294.76,0.2738
2019-02,CUS0107,DE,P03,137218.93,1.766117,242344.66,177543.14,64801.52,0.2674
2019-02,CUS0042,DE,P04,3087518.15,0.367193,1133715.63,783674.25,350041.38,0.3088
2019-02,CUS0049,DE,P04,130418.77,0.413699,53954.11,37074.31,16879.8,0.3129
2019-02,CUS0079,DE,P04,1147437.0,0.353577,405707.79,274989.27,130718.51,0.3222
2019-02,CUS0090,DE,P04,504978.14,0.412158,208130.61,143440.63,64689.99,0.3108
2019-02,CUS0097,DE,P04,1828522.33,0.350287,640508.27,442325.85,198182.42,0.3094
2019-02,CUS0113,DE,P04,1132026.7,0.348605,394630.53,270284.4,124346.13,0.3151
2019-02,CUS0019,DE,P05,487312.13,1.05503,514128.74,335667.34,178461.39,0.3471
2019-02,CUS0027,DE,P05,346713.18,1.036716,359443.16,233208.56,126234.6,0.3512
2019-02,CUS0047,DE,P05,685008.59,1.019109,698098.46,456103.06,241995.41,0.3466
2019-02,CUS0049,DE,P05,110002.03,1.079175,118711.49,77223.12,41488.37,0.3495
2019-02,CUS0057,DE,P05,1068390.09,1.04006,1111189.76,737421.06,373768.7,0.3364
2019-02,CUS0090,DE,P05,419980.43,1.078497,452947.72,293899.69,159048.03,0.3511
2019-02,CUS0097,DE,P05,1483563.67,0.942302,1397964.32,906257.61,491706.7,0.3517
2019-02,CUS0113,DE,P05,951496.28,0.93665,891219.44,582206.53,309012.91,0.3467
2019-02,CUS0064,DE,P06,325021.32,2.047123,665358.48,398334.05,267024.44,0.4013
2019-02,CUS0079,DE,P06,123563.21,2.03605,251580.88,151367.63,100213.25,0.3983
2019-02,CUS0090,DE,P06,49769.99,2.417778,120332.8,71841.48,48491.32,0.403
2019-02,CUS0097,DE,P06,175155.11,2.078096,363989.05,217766.28,146222.77,0.4017
2019-02,CUS0113,DE,P06,106001.8,2.068797,219296.2,131158.09,88138.11,0.4019
2019-02,CUS0006,DE,P07,889025.72,0.083102,73879.71,36181.84,37697.88,0.5103
2019-02,CUS0027,DE,P07,719554.87,0.08623,62047.11,29963.14,32083.97,0.5171
2019-02,CUS0057,DE,P07,1908383.18,0.087129,166275.89,80622.83,85653.06,0.5151
2019-02,CUS0107,DE,P07,769034.32,0.088678,68196.47,33362.8,34833.67,0.5108
2019-02,CUS0012,ES,P01,77373313.87,0.015555,1203564.41,1067328.58,136235.83,0.1132
2019-02,CUS0053,ES,P01,47318832.33,0.014433,682941.34,605843.18,77098.15,0.1129
2019-02,CUS0099,ES,P01,41490612.17,0.014448,599446.4,528733.12,70713.28,0.118
2019-02,CUS0010,ES,P02,48936391.56,0.032654,1597949.18,1286580.07,311369.11,0.1949
2019-02,CUS0030,ES,P02,7236409.42,0.033339,241255.57,197081.15,44174.42,0.1831
2019-02,CUS0031,ES,P02,17732119.43,0.034406,610091.82,492648.02,117443.8,0.1925
