country_code,product_id,year_month,horizon,forecast_eur,forecast_lo_eur,forecast_hi_eur,model,scenario,scenario_key,driver_factor
AT,P06,2026-08,2,0.03640156806730073,0.03161083076814813,0.043420576892144055,gradient_boosting,Downside,downside,0.9830430339000579
AT,P06,2026-09,3,0.1982367074130243,0.1762240444799656,0.23577099016537598,gradient_boosting,Downside,downside,0.9746726845531996
AT,P06,2026-10,4,1.811337306812956,1.5680351317761207,2.3160723778448413,gradient_boosting,Downside,downside,0.9663736064994303
AT,P06,2026-11,5,0.9732557661597928,0.7919511828217151,1.3171073800029307,gradient_boosting,Downside,downside,0.9581451928826913
AT,P06,2026-12,6,0.5107100700897513,0.43717774825843647,0.6645692134286466,gradient_boosting,Downside,downside,0.9499868420141407
AT,P06,2027-01,7,0.5452003809664288,0.4383180351700995,0.7333914046405446,gradient_boosting,Downside,downside,0.941897957328157
AT,P06,2027-02,8,0.19426080993199174,0.149923608765691,0.24388405438793756,gradient_boosting,Downside,downside,0.9338779473387159
AT,P06,2027-03,9,0.19128634952122553,0.14839477725893274,0.24661265122819728,gradient_boosting,Downside,downside,0.9259262255961387
AT,P06,2027-04,10,0.0,0.0,0.0,gradient_boosting,Downside,downside,0.9180422106442098
AT,P06,2027-05,11,0.0,0.0,0.0,gradient_boosting,Downside,downside,0.9102253259776576
AT,P06,2027-06,12,0.0,0.0,0.0,gradient_boosting,Downside,downside,0.9024749999999999
AT,P07,2026-07,1,863694.9956436721,773576.5179856651,982614.2701990417,gradient_boosting,Downside,downside,0.9949355361674717
AT,P07,2026-08,2,756438.4991604262,656885.1467954167,902296.1855997012,gradient_boosting,Downside,downside,0.9898967211288543
AT,P07,2026-09,3,626861.3784286127,557253.2397081094,745551.7689799775,gradient_boosting,Downside,downside,0.9848834249867586
AT,P07,2026-10,4,498061.10489465855,431160.61669385264,636847.4624723882,gradient_boosting,Downside,downside,0.9798955185016566
AT,P07,2026-11,5,635010.0007514054,516716.09733481525,859359.2634600669,gradient_boosting,Downside,downside,0.9749328730885484
AT,P07,2026-12,6,576742.2302650069,493702.56104112836,750494.5619163945,gradient_boosting,Downside,downside,0.9699953608136485
AT,P07,2027-01,7,710379.8234701678,571115.3170802703,955587.1102650033,gradient_boosting,Downside,downside,0.9650828543910874
AT,P07,2027-02,8,793366.9757239433,612292.5160133785,996029.7948144558,gradient_boosting,Downside,downside,0.9601952271796305
AT,P07,2027-03,9,593027.1050795387,460054.3916858163,764550.0423835511,gradient_boosting,Downside,downside,0.9553323531794128
AT,P07,2027-04,10,838421.0139563289,625884.3163755538,1054119.3913662299,gradient_boosting,Downside,downside,0.9504941070286914
AT,P07,2027-05,11,827361.8077524732,621547.6886883721,1088637.1915439137,gradient_boosting,Downside,downside,0.9456803640006133
AT,P07,2027-06,12,1009782.1964787768,804354.6883468559,1314439.0594173188,gradient_boosting,Downside,downside,0.9408909999999999
CZ,P03,2026-07,1,171433.78863996358,153546.27958954425,195037.93348527406,gradient_boosting,Downside,downside,0.9914852666076577
CZ,P03,2026-08,2,154972.64134613134,134577.0031177872,184854.71497567088,gradient_boosting,Downside,downside,0.9830430339000579
CZ,P03,2026-09,3,146660.00951881852,130374.54252621639,174428.72267784394,gradient_boosting,Downside,downside,0.9746726845531996
CZ,P03,2026-10,4,135696.9182329589,117469.85736047849,173509.30878302723,gradient_boosting,Downside,downside,0.9663736064994303
CZ,P03,2026-11,5,136022.38472229062,110683.22656447746,184079.1423925788,gradient_boosting,Downside,downside,0.9581451928826913
CZ,P03,2026-12,6,136784.24069617345,117089.9691370568,177992.56480867043,gradient_boosting,Downside,downside,0.9499868420141407
CZ,P03,2027-01,7,120980.16890576946,97262.93630852923,162739.82760279105,gradient_boosting,Downside,downside,0.941897957328157
CZ,P03,2027-02,8,133569.74097646162,103084.39255504137,167689.66413910442,gradient_boosting,Downside,downside,0.9338779473387159
CZ,P03,2027-03,9,145688.40124275663,113021.12202852174,187826.27706367982,gradient_boosting,Downside,downside,0.9259262255961387
CZ,P03,2027-04,10,150596.55811979514,112420.87478526497,189340.14003059827,gradient_boosting,Downside,downside,0.9180422106442098
CZ,P03,2027-05,11,140452.75999375668,105513.80004011451,184806.8121485483,gradient_boosting,Downside,downside,0.9102253259776576
CZ,P03,2027-06,12,200345.8414069813,159587.99569693944,260791.28772072648,gradient_boosting,Downside,downside,0.9024749999999999
CZ,P04,2026-07,1,178804.59381188173,160148.0103259761,203423.60016311103,gradient_boosting,Downside,downside,0.9870850541179849
CZ,P04,2026-08,2,174543.29325884124,151572.00081929364,208199.01142559628,gradient_boosting,Downside,downside,0.9743369040631049
CZ,P04,2026-09,3,194215.5674974095,172649.42125000514,230988.48468558746,gradient_boosting,Downside,downside,0.9617533956762796
CZ,P04,2026-10,4,165763.72645071428,143498.03632443323,211954.331552214,gradient_boosting,Downside,downside,0.9493324026192761
CZ,P04,2026-11,5,201871.9445615585,164265.890665987,273193.37551596574,gradient_boosting,Downside,downside,0.9370718260154047
CZ,P04,2026-12,6,170198.5901746229,145693.30186934813,221473.49312915682,gradient_boosting,Downside,downside,0.9249695940948546
CZ,P04,2027-01,7,186994.71910327737,150335.84114384573,251541.1296309443,gradient_boosting,Downside,downside,0.9130236618446099
CZ,P04,2027-02,8,153887.6791482519,118765.05719583742,193197.74855342566,gradient_boosting,Downside,downside,0.9012320106628874
CZ,P04,2027-03,9,163441.48075087217,126793.48103825131,210714.1308803242,gradient_boosting,Downside,downside,0.8895926480180364
CZ,P04,2027-04,10,164494.07286740438,122795.41976008793,206813.0319827269,gradient_boosting,Downside,downside,0.8781036071118449
CZ,P04,2027-05,11,213089.49755569382,160081.458254999,280381.7507562982,gradient_boosting,Downside,downside,0.866762946547193
CZ,P04,2027-06,12,310914.4358263467,247662.79798130292,404719.0374438721,gradient_boosting,Downside,downside,0.85556875
CZ,P05,2026-07,1,1337172.5139731637,1197651.095031069,1521283.3240613495,gradient_boosting,Downside,downside,0.9897370644864661
CZ,P05,2026-08,2,1337561.6089682737,1161527.8106947578,1595472.386871093,gradient_boosting,Downside,downside,0.9795794568182872
CZ,P05,2026-09,3,1277758.9468657542,1135873.6352395182,1519690.7577138965,gradient_boosting,Downside,downside,0.9695260960225786
CZ,P05,2026-10,4,1358300.155703248,1175850.768174789,1736794.941292233,gradient_boosting,Downside,downside,0.9595759122204106
CZ,P05,2026-11,5,1312952.8284047344,1068367.20787897,1776819.5370790889,gradient_boosting,Downside,downside,0.9497278465129522
CZ,P05,2026-12,6,1264841.316995297,1082728.756006442,1645893.9198122665,gradient_boosting,Downside,downside,0.9399808508687822
CZ,P05,2027-01,7,1238570.3364760736,995758.1382130223,1666097.2195289657,gradient_boosting,Downside,downside,0.9303338880123592
CZ,P05,2027-02,8,1252186.156916156,966392.9001275894,1572052.73108907,gradient_boosting,Downside,downside,0.9207859313136332
CZ,P05,2027-03,9,1252760.8501996386,971857.9908570967,1615100.4783973987,gradient_boosting,Downside,downside,0.9113359646787922
CZ,P05,2027-04,10,1229791.1935342615,918043.5695639179,1546176.351566742,gradient_boosting,Downside,downside,0.9019829824421295
CZ,P05,2027-05,11,1211312.8630593186,909987.2670678804,1593837.449306618,gradient_boosting,Downside,downside,0.8927259892590209
CZ,P05,2027-06,12,1210611.1061677414,964327.4781496531,1575859.159787366,gradient_boosting,Downside,downside,0.8835639999999999
CZ,P06,2026-07,1,210536.58588661326,188569.06644153886,239524.66407078927,gradient_boosting,Downside,downside,0.9914852666076577
CZ,P06,2026-08,2,203071.43957026122,176345.61506338292,242228.000732188,gradient_boosting,Downside,downside,0.9830430339000579
CZ,P06,2026-09,3,248768.90336589035,221145.02840608955,295870.9889522569,gradient_boosting,Downside,downside,0.9746726845531996
CZ,P06,2026-10,4,255994.91109425557,221609.2014678236,327328.7312220507,gradient_boosting,Downside,downside,0.9663736064994303
CZ,P06,2026-11,5,300629.2001540937,244625.9852044803,406841.6051925292,gradient_boosting,Downside,downside,0.9581451928826913
CZ,P06,2026-12,6,248022.4341087208,212312.02518127696,322742.9486936185,gradient_boosting,Downside,downside,0.9499868420141407
CZ,P06,2027-01,7,255776.6322190366,205633.58865953665,344065.0265959699,gradient_boosting,Downside,downside,0.941897957328157
CZ,P06,2027-02,8,232032.4378173356,179074.41259229943,291304.3125076021,gradient_boosting,Downside,downside,0.9338779473387159
CZ,P06,2027-03,9,226126.64292072877,175422.9347390433,291529.90301498177,gradient_boosting,Downside,downside,0.9259262255961387
CZ,P06,2027-04,10,308169.04989345843,230049.30924920455,387450.89388768835,gradient_boosting,Downside,downside,0.9180422106442098
CZ,P06,2027-05,11,283565.1645726502,213025.6327778163,373113.16704192513,gradient_boosting,Downside,downside,0.9102253259776576
CZ,P06,2027-06,12,244729.38589650654,194942.26538013565,318565.59259147436,gradient_boosting,Downside,downside,0.9024749999999999
CZ,P07,2026-07,1,56759.53979416554,50837.213805687126,64574.57094574525,gradient_boosting,Downside,downside,0.9949355361674717
CZ,P07,2026-08,2,58695.24175021655,50970.47881100307,70012.95254386678,gradient_boosting,Downside,downside,0.9898967211288543
CZ,P07,2026-09,3,67962.74976911195,60416.00869277695,80830.86637451101,gradient_boosting,Downside,downside,0.9848834249867586
CZ,P07,2026-10,4,74972.15718156443,64901.75845413308,95863.394246091,gradient_boosting,Downside,downside,0.9798955185016566
CZ,P07,2026-11,5,102472.36573704539,83383.12915648162,138675.88957748082,gradient_boosting,Downside,downside,0.9749328730885484
CZ,P07,2026-12,6,71810.19165880303,61470.920058194984,93444.09946423097,gradient_boosting,Downside,downside,0.9699953608136485
CZ,P07,2027-01,7,95184.87262012044,76524.6096688557,128040.56979501621,gradient_boosting,Downside,downside,0.9650828543910874
CZ,P07,2027-02,8,89294.45130475899,68914.29304268047,112104.40657678153,gradient_boosting,Downside,downside,0.9601952271796305
CZ,P07,2027-03,9,90379.58685841791,70114.03947107625,116520.3350257378,gradient_boosting,Downside,downside,0.9553323531794128
CZ,P07,2027-04,10,157528.71847355494,117595.75753724316,198055.71911475874,gradient_boosting,Downside,downside,0.9504941070286914
CZ,P07,2027-05,11,134595.76238856136,101113.7862975759,177100.21345852656,gradient_boosting,Downside,downside,0.9456803640006133
CZ,P07,2027-06,12,118280.75080741209,94218.01729609686,153966.70626657922,gradient_boosting,Downside,downside,0.9408909999999999
DE,P01,2026-07,1,2406234.328262887,2155166.3289746856,2737540.6831341423,gradient_boosting,Downside,downside,0.9861929673672594
DE,P01,2026-08,2,2329797.838633435,2023177.822034409,2779033.200122125,gradient_boosting,Downside,downside,0.9725765688846404
DE,P01,2026-09,3,2275586.3174853325,2022899.9445346391,2706447.4903856725,gradient_boosting,Downside,downside,0.9591481724602113
DE,P01,2026-10,4,2215180.973073959,1917633.7703404143,2832448.403931563,gradient_boosting,Downside,downside,0.9459051823434197
DE,P01,2026-11,5,2244677.4064165256,1826523.9096183085,3037722.74515519,gradient_boosting,Downside,downside,0.9328450386233257
DE,P01,2026-12,6,2082523.158445905,1782680.3081157766,2709914.7998239347,gradient_boosting,Downside,downside,0.9199652167337633
DE,P01,2027-01,7,1785632.4370940623,1435572.917200987,2401992.967963042,gradient_boosting,Downside,downside,0.907263226965334
DE,P01,2027-02,8,1842628.8835788786,1422075.672075879,2313321.9871618,gradient_boosting,Downside,downside,0.8947366139841381
DE,P01,2027-03,9,1605459.2331968131,1245471.8588380099,2069810.830351603,gradient_boosting,Downside,downside,0.8823829563571512
DE,P01,2027-04,10,1770660.2063384545,1321804.2419381267,2226193.318097243,gradient_boosting,Downside,downside,0.870199866084154
DE,P01,2027-05,11,1767620.514846362,1327908.0991971528,2325823.3761419337,gradient_boosting,Downside,downside,0.8581849881361236
DE,P01,2027-06,12,1541524.2085260313,1227920.4650783818,2006610.5718537197,gradient_boosting,Downside,downside,0.8463360000000001
DE,P02,2026-07,1,6184063.674286915,5538814.591129278,7035526.713507549,gradient_boosting,Downside,downside,0.9914852666076577
DE,P02,2026-08,2,5318414.90950077,4618468.999692495,6343920.2150674695,gradient_boosting,Downside,downside,0.9830430339000579
DE,P02,2026-09,3,5990881.461195057,5325640.114129923,7125199.326109027,gradient_boosting,Downside,downside,0.9746726845531996
DE,P02,2026-10,4,6438392.789108141,5573575.969270375,8232472.01969578,gradient_boosting,Downside,downside,0.9663736064994303
DE,P02,2026-11,5,7993019.844351122,6504026.73187144,10816956.643415632,gradient_boosting,Downside,downside,0.9581451928826913
DE,P02,2026-12,6,7957537.289961458,6811806.615633254,10354865.915781625,gradient_boosting,Downside,downside,0.9499868420141407
DE,P02,2027-01,7,6278519.070454836,5047663.6459086025,8445723.959292047,gradient_boosting,Downside,downside,0.941897957328157
DE,P02,2027-02,8,6181748.174918491,4770854.168624962,7760854.125091712,gradient_boosting,Downside,downside,0.9338779473387159
DE,P02,2027-03,9,6130254.617920863,4755685.760347309,7903325.813960454,gradient_boosting,Downside,downside,0.9259262255961387
DE,P02,2027-04,10,6386192.476351529,4767315.758753366,8029151.481489359,gradient_boosting,Downside,downside,0.9180422106442098
DE,P02,2027-05,11,6537352.319041943,4911123.750176446,8601804.920229156,gradient_boosting,Downside,downside,0.9102253259776576
DE,P02,2027-06,12,7512166.033836719,5983910.183827021,9778627.995359592,gradient_boosting,Downside,downside,0.9024749999999999
DE,P03,2026-07,1,11216669.427770218,10046315.103243379,12761055.117169458,gradient_boosting,Downside,downside,0.9914852666076577
DE,P03,2026-08,2,10887737.167309668,9454823.935265256,12987128.13636437,gradient_boosting,Downside,downside,0.9830430339000579
DE,P03,2026-09,3,8113228.512232171,7212316.835130163,9649393.1155823,gradient_boosting,Downside,downside,0.9746726845531996
DE,P03,2026-10,4,6324063.181511103,5474603.325886926,8086284.0926159555,gradient_boosting,Downside,downside,0.9663736064994303
DE,P03,2026-11,5,5851865.584822207,4761740.986030533,7919331.81034865,gradient_boosting,Downside,downside,0.9581451928826913
DE,P03,2026-12,6,6043418.185912298,5173283.4518749835,7864089.4422275685,gradient_boosting,Downside,downside,0.9499868420141407
DE,P03,2027-01,7,5658634.659672215,4549302.811154263,7611869.261808561,gradient_boosting,Downside,downside,0.941897957328157
DE,P03,2027-02,8,5551247.422760694,4284256.032201706,6969294.161017022,gradient_boosting,Downside,downside,0.9338779473387159
DE,P03,2027-03,9,6029267.318506761,4677342.544325645,7773129.667130207,gradient_boosting,Downside,downside,0.9259262255961387
DE,P03,2027-04,10,6788907.165324394,5067943.729196034,8535471.523291687,gradient_boosting,Downside,downside,0.9180422106442098
DE,P03,2027-05,11,7979969.9568634685,5994876.529247566,10499991.661500147,gradient_boosting,Downside,downside,0.9102253259776576
DE,P03,2027-06,12,9072262.99854751,7226625.011060757,11809414.826465469,gradient_boosting,Downside,downside,0.9024749999999999
DE,P04,2026-07,1,6059968.156603018,5427667.277608033,6894344.899141402,gradient_boosting,Downside,downside,0.9870850541179849
DE,P04,2026-08,2,6041259.404008485,5246181.381349391,7206144.746076873,gradient_boosting,Downside,downside,0.9743369040631049
DE,P04,2026-09,3,6186066.366386767,5499151.23557252,7357340.683594874,gradient_boosting,Downside,downside,0.9617533956762796
DE,P04,2026-10,4,5998649.811599306,5192900.081299556,7670193.221744301,gradient_boosting,Downside,downside,0.9493324026192761
DE,P04,2026-11,5,5786518.391756991,4708567.104465695,7830897.430362104,gradient_boosting,Downside,downside,0.9370718260154047
DE,P04,2026-12,6,5306687.748900229,4542627.87566951,6905407.803253795,gradient_boosting,Downside,downside,0.9249695940948546
DE,P04,2027-01,7,5420845.2764822235,4358130.209551542,7292000.281825118,gradient_boosting,Downside,downside,0.9130236618446099
DE,P04,2027-02,8,5054943.659220677,3901226.3758342545,6346211.336938883,gradient_boosting,Downside,downside,0.9012320106628874
DE,P04,2027-03,9,5275492.446566322,4092584.3819949334,6801338.318381614,gradient_boosting,Downside,downside,0.8895926480180364
DE,P04,2027-04,10,5102309.315653749,3808892.3402519887,6414967.064099997,gradient_boosting,Downside,downside,0.8781036071118449
DE,P04,2027-05,11,5111466.667957368,3839940.7169965063,6725634.01638212,gradient_boosting,Downside,downside,0.866762946547193
DE,P04,2027-06,12,5191470.135449454,4135330.7252028,6757765.333582709,gradient_boosting,Downside,downside,0.85556875
DE,P05,2026-07,1,7409441.343028637,6636335.5852114195,8429622.534094665,gradient_boosting,Downside,downside,0.9897370644864661
DE,P05,2026-08,2,7403335.9818665795,6428997.795090859,8830859.11751635,gradient_boosting,Downside,downside,0.9795794568182872
DE,P05,2026-09,3,7629366.5854391465,6782184.056887025,9073916.418697739,gradient_boosting,Downside,downside,0.9695260960225786
DE,P05,2026-10,4,7203465.233931841,6235882.46918353,9210734.406188643,gradient_boosting,Downside,downside,0.9595759122204106
DE,P05,2026-11,5,7188466.209398237,5849350.720694503,9728153.918530827,gradient_boosting,Downside,downside,0.9497278465129522
DE,P05,2026-12,6,6834788.209890009,5850711.576722806,8893871.671259105,gradient_boosting,Downside,downside,0.9399808508687822
DE,P05,2027-01,7,7495442.121655933,6026018.282804046,10082701.733001243,gradient_boosting,Downside,downside,0.9303338880123592
DE,P05,2027-02,8,7164961.1138912635,5529663.0711901495,8995225.370466972,gradient_boosting,Downside,downside,0.9207859313136332
DE,P05,2027-03,9,6942477.874392576,5385786.598856282,8950470.741808338,gradient_boosting,Downside,downside,0.9113359646787922
DE,P05,2027-04,10,7063301.9772238415,5272780.447746638,8880459.169472706,gradient_boosting,Downside,downside,0.9019829824421295
DE,P05,2027-05,11,6482863.156643231,4870189.285193725,8530108.440928942,gradient_boosting,Downside,downside,0.8927259892590209
DE,P05,2027-06,12,6198713.7330673225,4937663.260750048,8068899.884849057,gradient_boosting,Downside,downside,0.8835639999999999
DE,P06,2026-07,1,6661090.61363445,5966068.240377083,7578233.896293685,gradient_boosting,Downside,downside,0.9914852666076577
DE,P06,2026-08,2,6574986.0843337355,5709665.364704563,7842785.462202203,gradient_boosting,Downside,downside,0.9830430339000579
DE,P06,2026-09,3,6560470.510836402,5831980.67703166,7802634.781801387,gradient_boosting,Downside,downside,0.9746726845531996
DE,P06,2026-10,4,6384867.178201251,5527240.017354572,8164031.322061807,gradient_boosting,Downside,downside,0.9663736064994303
DE,P06,2026-11,5,6201517.86790234,5046257.70690672,8392516.371378116,gradient_boosting,Downside,downside,0.9581451928826913
DE,P06,2026-12,6,6033525.255404937,5164814.911040993,7851216.116576039,gradient_boosting,Downside,downside,0.9499868420141407
DE,P06,2027-01,7,5784908.89226946,4650821.950642988,7781730.5459298985,gradient_boosting,Downside,downside,0.941897957328157
DE,P06,2027-02,8,6472447.600088327,4995205.682977401,8125811.701678994,gradient_boosting,Downside,downside,0.9338779473387159
DE,P06,2027-03,9,6764807.793840989,5247954.954857535,8721412.63223376,gradient_boosting,Downside,downside,0.9259262255961387
DE,P06,2027-04,10,6830707.772042783,5099148.0331489695,8588026.062573573,gradient_boosting,Downside,downside,0.9180422106442098
DE,P06,2027-05,11,6665166.400612299,5007142.8632627595,8769981.842945106,gradient_boosting,Downside,downside,0.9102253259776576
DE,P06,2027-06,12,7026936.326360031,5597394.36735189,9147001.806542743,gradient_boosting,Downside,downside,0.9024749999999999
DE,P07,2026-07,1,2045710.1772607658,1832259.4940518865,2327377.1678736797,gradient_boosting,Downside,downside,0.9949355361674717
DE,P07,2026-08,2,2109230.2100418676,1831638.6562641584,2515935.3670982467,gradient_boosting,Downside,downside,0.9898967211288543
DE,P07,2026-09,3,2175741.28917157,1934141.9393181347,2587697.7315956457,gradient_boosting,Downside,downside,0.9848834249867586
DE,P07,2026-10,4,2170886.493242248,1879289.0069114103,2775811.122270459,gradient_boosting,Downside,downside,0.9798955185016566
DE,P07,2026-11,5,2230899.0135415127,1815312.2477775533,3019076.4410989964,gradient_boosting,Downside,downside,0.9749328730885484
DE,P07,2026-12,6,2189970.1916375197,1874657.0573102944,2849731.8790541207,gradient_boosting,Downside,downside,0.9699953608136485
DE,P07,2027-01,7,2245268.6907467684,1805101.014809571,3020285.415030926,gradient_boosting,Downside,downside,0.9650828543910874
DE,P07,2027-02,8,2197117.2389530507,1695657.2221667925,2758363.1530677364,gradient_boosting,Downside,downside,0.9601952271796305
DE,P07,2027-03,9,2417201.795527989,1875199.7878315211,3116336.03150846,gradient_boosting,Downside,downside,0.9553323531794128
