year_month,date,year,quarter,quarter_no,month_no,month_name,month_label,days_in_month,half_year,is_covid_period
2025-12,2025-12-01,2025,2025-Q4,4,12,Dec,Dec 2025,31,2025-H2,False
2026-01,2026-01-01,2026,2026-Q1,1,1,Jan,Jan 2026,31,2026-H1,False
2026-02,2026-02-01,2026,2026-Q1,1,2,Feb,Feb 2026,28,2026-H1,False
2026-03,2026-03-01,2026,2026-Q1,1,3,Mar,Mar 2026,31,2026-H1,False
2026-04,2026-04-01,2026,2026-Q2,2,4,Apr,Apr 2026,30,2026-H1,False
2026-05,2026-05-01,2026,2026-Q2,2,5,May,May 2026,31,2026-H1,False
2026-06,2026-06-01,2026,2026-Q2,2,6,Jun,Jun 2026,30,2026-H1,False
2026-07,2026-07-01,2026,2026-Q3,3,7,Jul,Jul 2026,31,2026-H2,False
2026-08,2026-08-01,2026,2026-Q3,3,8,Aug,Aug 2026,31,2026-H2,False
2026-09,2026-09-01,2026,2026-Q3,3,9,Sep,Sep 2026,30,2026-H2,False
2026-10,2026-10-01,2026,2026-Q4,4,10,Oct,Oct 2026,31,2026-H2,False
2026-11,2026-11-01,2026,2026-Q4,4,11,Nov,Nov 2026,30,2026-H2,False
2026-12,2026-12-01,2026,2026-Q4,4,12,Dec,Dec 2026,31,2026-H2,False
2027-01,2027-01-01,2027,2027-Q1,1,1,Jan,Jan 2027,31,2027-H1,False
2027-02,2027-02-01,2027,2027-Q1,1,2,Feb,Feb 2027,28,2027-H1,False
2027-03,2027-03-01,2027,2027-Q1,1,3,Mar,Mar 2027,31,2027-H1,False
2027-04,2027-04-01,2027,2027-Q2,2,4,Apr,Apr 2027,30,2027-H1,False
2027-05,2027-05-01,2027,2027-Q2,2,5,May,May 2027,31,2027-H1,False
2027-06,2027-06-01,2027,2027-Q2,2,6,Jun,Jun 2027,30,2027-H1,False
