table,column,dtype,role,non_null,distinct,example
fact_backtest,country_code,object,key,14976,13,AT
fact_backtest,product_id,object,key,14976,7,P01
fact_backtest,origin_year_month,object,attribute,14976,4,2025-06
fact_backtest,target_year_month,object,attribute,14976,21,2025-07
fact_backtest,horizon,int64,measure,14976,12,1
fact_backtest,y,float64,measure,14976,1576,626683.27
fact_backtest,model,object,attribute,14976,4,seasonal_naive
fact_backtest,fold,int64,measure,14976,4,1
fact_backtest,origin,object,attribute,14976,4,2025-06
fact_backtest,y_pred,float64,measure,14976,12741,742698.24
fact_backtest,error,float64,measure,14976,12741,116014.96999999997
fact_backtest,abs_error,float64,measure,14976,12741,116014.96999999997
fact_accuracy_by_model,model,object,attribute,4,4,elastic_net
fact_accuracy_by_model,mae,float64,measure,4,4,564142.1899491629
fact_accuracy_by_model,rmse,float64,measure,4,4,1248195.7145647123
fact_accuracy_by_model,mape,float64,measure,4,4,18.360712914747406
fact_accuracy_by_model,smape,float64,measure,4,4,24.190027252755662
fact_accuracy_by_model,wape,float64,measure,4,4,22.50745006538888
fact_accuracy_by_model,bias_pct,float64,measure,4,4,11.465729310904289
fact_accuracy_by_model,n_obs,int64,measure,4,1,3744
fact_accuracy_by_model,actual_eur,float64,measure,4,1,9384218794.369999
fact_accuracy_by_horizon,horizon,int64,measure,12,12,12
fact_accuracy_by_horizon,mae,float64,measure,12,12,336047.44550419395
fact_accuracy_by_horizon,rmse,float64,measure,12,12,647928.840995189
fact_accuracy_by_horizon,mape,float64,measure,12,12,19.084701875530676
fact_accuracy_by_horizon,smape,float64,measure,12,12,23.48065611424974
fact_accuracy_by_horizon,wape,float64,measure,12,12,12.6855356783302
fact_accuracy_by_horizon,bias_pct,float64,measure,12,12,0.016442788287419872
fact_accuracy_by_horizon,n_obs,int64,measure,12,1,312
fact_accuracy_by_horizon,actual_eur,float64,measure,12,12,826506705.4000001
