country_code,product_id,year_month,horizon,forecast_eur,forecast_lo_eur,forecast_hi_eur,model,scenario
AT,P03,2027-05,11,1941822.5947572885,1458775.7548210835,2555037.3201001445,gradient_boosting,Baseline
AT,P03,2027-06,12,2286380.3347254754,1821244.9654920637,2976193.903127478,gradient_boosting,Baseline
AT,P04,2026-07,1,799382.43942878,715974.374230743,909446.7332693699,gradient_boosting,Baseline
AT,P04,2026-08,2,648823.1728173539,563432.8575203918,773930.2991737805,gradient_boosting,Baseline
AT,P04,2026-09,3,675710.4922472496,600678.0348367274,803650.0096338901,gradient_boosting,Baseline
AT,P04,2026-10,4,461281.49860490113,399321.315102529,589819.0984701047,gradient_boosting,Baseline
AT,P04,2026-11,5,545080.6207460816,443539.36276826495,737657.8010053836,gradient_boosting,Baseline
AT,P04,2026-12,6,500582.00797979976,428507.9302016433,651389.919218168,gradient_boosting,Baseline
AT,P04,2027-01,7,578975.06455876,465471.45154233417,778824.3564612351,gradient_boosting,Baseline
AT,P04,2027-02,8,553799.9603441663,427403.1834736039,695266.2232588145,gradient_boosting,Baseline
AT,P04,2027-03,9,535169.9140194964,415170.3474156851,689958.6493455962,gradient_boosting,Baseline
AT,P04,2027-04,10,595238.2193018155,444347.4814763218,748373.5963242812,gradient_boosting,Baseline
AT,P04,2027-05,11,589246.4880439757,442665.81957218563,775326.629608243,gradient_boosting,Baseline
AT,P04,2027-06,12,660337.7898179328,526000.3582800525,859565.3462427008,gradient_boosting,Baseline
AT,P05,2026-07,1,1209817.6606795944,1083584.527022309,1376393.4070691767,gradient_boosting,Baseline
AT,P05,2026-08,2,1190544.8705339304,1033859.6500775841,1420107.6447858491,gradient_boosting,Baseline
AT,P05,2026-09,3,1532684.221811639,1362491.4174726158,1822883.7701308443,gradient_boosting,Baseline
AT,P05,2026-10,4,2155036.257227442,1865567.8038949007,2755544.166094966,gradient_boosting,Baseline
AT,P05,2026-11,5,1649035.135431556,1341841.858458788,2231639.8446124746,gradient_boosting,Baseline
AT,P05,2026-12,6,1198959.6893442438,1026332.8019908366,1560164.454051458,gradient_boosting,Baseline
AT,P05,2027-01,7,838013.5815240786,673727.4575054084,1127277.1977384984,gradient_boosting,Baseline
AT,P05,2027-02,8,817370.8363865331,630817.8450084762,1026165.3577280717,gradient_boosting,Baseline
AT,P05,2027-03,9,926427.1365347934,718697.1203998894,1194380.3250071493,gradient_boosting,Baseline
AT,P05,2027-04,10,870744.7813456174,650014.1255267604,1094759.0096962578,gradient_boosting,Baseline
AT,P05,2027-05,11,808509.2618107547,607384.8928641393,1063831.1363512077,gradient_boosting,Baseline
AT,P05,2027-06,12,933260.4913551323,743400.3632546403,1214830.3334381154,gradient_boosting,Baseline
AT,P06,2026-07,1,0.045868413668337424,0.04108247461204161,0.05218388209869367,gradient_boosting,Baseline
AT,P06,2026-08,2,0.03702947563026171,0.03215610067723838,0.04416955859997321,gradient_boosting,Baseline
AT,P06,2026-09,3,0.2033879789130421,0.18080330686680585,0.24189760716794473,gradient_boosting,Baseline
AT,P06,2026-10,4,1.8743654572420525,1.622597224541485,2.3966635287510893,gradient_boosting,Baseline
AT,P06,2026-11,5,1.015770650825518,0.8265461108655545,1.374642788782627,gradient_boosting,Baseline
AT,P06,2026-12,6,0.5375969934561992,0.4601934773449515,0.6995562296627624,gradient_boosting,Baseline
AT,P06,2027-01,7,0.5788316841804989,0.4653561797856088,0.7786314843711157,gradient_boosting,Baseline
AT,P06,2027-02,8,0.20801520207815088,0.16053876118708044,0.2611519579008554,gradient_boosting,Baseline
AT,P06,2027-03,9,0.20658919062160672,0.1602663075704458,0.266341577126645,gradient_boosting,Baseline
AT,P06,2027-04,10,0.0,0.0,0.0,gradient_boosting,Baseline
AT,P06,2027-05,11,0.0,0.0,0.0,gradient_boosting,Baseline
AT,P06,2027-06,12,0.0,0.0,0.0,gradient_boosting,Baseline
AT,P07,2026-07,1,868091.4132091985,777514.2105844469,987616.0157914432,gradient_boosting,Baseline
AT,P07,2026-08,2,764159.0107479112,663589.5773513834,911505.3786325754,gradient_boosting,Baseline
AT,P07,2026-09,3,636482.8187021633,565806.2929788888,756994.9397716802,gradient_boosting,Baseline
AT,P07,2026-10,4,508279.8068678141,440006.72373023385,649913.6392073535,gradient_boosting,Baseline
AT,P07,2026-11,5,651337.1517976607,530001.7176545492,881454.8028703259,gradient_boosting,Baseline
AT,P07,2026-12,6,594582.462519435,508974.1466670545,773709.4343284973,gradient_boosting,Baseline
AT,P07,2027-01,7,736081.6952015765,591778.5343317612,990160.6954440451,gradient_boosting,Baseline
AT,P07,2027-02,8,826255.9042855173,637675.0255381478,1037320.0851456862,gradient_boosting,Baseline
AT,P07,2027-03,9,620754.759436235,481564.75613405445,800297.4460553704,gradient_boosting,Baseline
AT,P07,2027-04,10,882089.6497478448,658483.1107813076,1109022.542666233,gradient_boosting,Baseline
AT,P07,2027-05,11,874885.2564225777,657249.2274863065,1151168.230815891,gradient_boosting,Baseline
AT,P07,2027-06,12,1073219.1045283426,854886.1540251272,1397015.232813704,gradient_boosting,Baseline
CZ,P03,2026-07,1,172906.03745078336,154864.913035873,196712.89130961223,gradient_boosting,Baseline
CZ,P03,2026-08,2,157645.83645062154,136898.38438087044,188043.35985403496,gradient_boosting,Baseline
CZ,P03,2026-09,3,150471.03693692724,133762.38463682964,178961.33280661696,gradient_boosting,Baseline
CZ,P03,2026-10,4,140418.69243977423,121557.39412834196,179546.82083210384,gradient_boosting,Baseline
CZ,P03,2026-11,5,141964.27194197098,115518.21935407733,192120.3005139078,gradient_boosting,Baseline
CZ,P03,2026-12,6,143985.40553063512,123254.30622681603,187363.18961144198,gradient_boosting,Baseline
CZ,P03,2027-01,7,128442.96769572461,103262.71073400667,172778.618253328,gradient_boosting,Baseline
CZ,P03,2027-02,8,143026.9783723848,110383.15322553906,179562.71975044688,gradient_boosting,Baseline
CZ,P03,2027-03,9,157343.42241894934,122062.77228594039,202852.31357687456,gradient_boosting,Baseline
CZ,P03,2027-04,10,164040.99547243948,122457.19584764719,206243.3925535235,gradient_boosting,Baseline
CZ,P03,2027-05,11,154305.4845709756,115920.52761966817,203034.1354763453,gradient_boosting,Baseline
CZ,P03,2027-06,12,221996.00144821886,176833.7025368453,288973.4205609313,gradient_boosting,Baseline
CZ,P04,2026-07,1,181144.05953765914,162243.37473033386,206085.17909825032,gradient_boosting,Baseline
CZ,P04,2026-08,2,179140.59554859743,155564.26138353144,213682.77292729114,gradient_boosting,Baseline
CZ,P04,2026-09,3,201939.05045777585,179515.2707816567,240174.33754227866,gradient_boosting,Baseline
CZ,P04,2026-10,4,174610.83809354898,151156.78757884158,223266.71982059898,gradient_boosting,Baseline
CZ,P04,2026-11,5,215428.46445395093,175297.01150495012,291539.41878461157,gradient_boosting,Baseline
CZ,P04,2026-12,6,184004.52432295762,157511.44988924626,239438.67403110006,gradient_boosting,Baseline
CZ,P04,2027-01,7,204808.18506443323,164657.11396801873,275503.40713267826,gradient_boosting,Baseline
CZ,P04,2027-02,8,170752.56685019674,131780.77985543545,214370.71283267226,gradient_boosting,Baseline
CZ,P04,2027-03,9,183726.20447685895,142529.8211723537,236865.8636621871,gradient_boosting,Baseline
CZ,P04,2027-04,10,187328.77479963776,139841.60726087002,235522.3578490379,gradient_boosting,Baseline
CZ,P04,2027-05,11,245845.18570452256,184688.8574236981,323481.4684605719,gradient_boosting,Baseline
CZ,P04,2027-06,12,363400.87903671875,289471.5333879398,473040.93030965904,gradient_boosting,Baseline
CZ,P05,2026-07,1,1351038.131189891,1210069.9650492333,1537058.0517267794,gradient_boosting,Baseline
CZ,P05,2026-08,2,1365444.7320819965,1185741.2919493495,1628731.9785709374,gradient_boosting,Baseline
CZ,P05,2026-09,3,1317921.1494230863,1171576.1338445353,1567457.3009930674,gradient_boosting,Baseline
CZ,P05,2026-10,4,1415521.313535486,1225385.874322261,1809960.962101869,gradient_boosting,Baseline
CZ,P05,2026-11,5,1382451.6499388844,1124919.32483776,1870872.317372719,gradient_boosting,Baseline
CZ,P05,2026-12,6,1345603.2809883954,1151862.567206262,1750986.648601448,gradient_boosting,Baseline
CZ,P05,2027-01,7,1331318.0917468844,1070323.408664002,1790859.4333681115,gradient_boosting,Baseline
CZ,P05,2027-02,8,1359910.17491952,1049530.4796293871,1707294.4727188775,gradient_boosting,Baseline
CZ,P05,2027-03,9,1374642.1723202644,1066410.22468551,1772233.8862887456,gradient_boosting,Baseline
CZ,P05,2027-04,10,1363430.594005873,1017805.8648937081,1714196.8104325554,gradient_boosting,Baseline
CZ,P05,2027-05,11,1356869.719973909,1019335.4713725615,1785360.1984070526,gradient_boosting,Baseline
CZ,P05,2027-06,12,1370145.3501588358,1091406.483457512,1783525.7658611783,gradient_boosting,Baseline
CZ,P06,2026-07,1,212344.64391685717,190188.4705626774,241581.66756256195,gradient_boosting,Baseline
CZ,P06,2026-08,2,206574.31319624884,179387.4825232842,246406.30407723776,gradient_boosting,Baseline
CZ,P06,2026-09,3,255233.27708719845,226891.5831035778,303559.3319083189,gradient_boosting,Baseline
CZ,P06,2026-10,4,264902.6312106823,229320.42015362537,338718.6167136319,gradient_boosting,Baseline
CZ,P06,2026-11,5,313761.63277469017,255312.02058061218,424613.7310030215,gradient_boosting,Baseline
CZ,P06,2026-12,6,261079.8625198526,223489.43773909306,339734.12516887725,gradient_boosting,Baseline
CZ,P06,2027-01,7,271554.5035733888,218318.32955965734,365289.0675885581,gradient_boosting,Baseline
CZ,P06,2027-02,8,248461.20253568623,191753.5509887669,311929.7477124669,gradient_boosting,Baseline
CZ,P06,2027-03,9,244216.6953151605,189456.70820167213,314852.19335621066,gradient_boosting,Baseline
CZ,P06,2027-04,10,335680.6978158549,250586.8538307994,422040.39138440683,gradient_boosting,Baseline
CZ,P06,2027-05,11,311532.9319892057,234036.15203632033,409912.97033091297,gradient_boosting,Baseline
CZ,P06,2027-06,12,271175.80641735956,216008.4937312786,352991.0441746025,gradient_boosting,Baseline
CZ,P07,2026-07,1,57048.45965478867,51095.98758680783,64903.27121542856,gradient_boosting,Baseline
CZ,P07,2026-08,2,59294.30868634651,51490.70375026353,70727.53252887401,gradient_boosting,Baseline
CZ,P07,2026-09,3,69005.88236625638,61343.30943135653,82071.5064583382,gradient_boosting,Baseline
CZ,P07,2026-10,4,76510.35826370878,66233.3455237895,97830.22009598969,gradient_boosting,Baseline
CZ,P07,2026-11,5,105107.09871995292,85527.04648508487,142241.47467523703,gradient_boosting,Baseline
CZ,P07,2026-12,6,74031.4794893116,63372.385623197355,96334.58389517294,gradient_boosting,Baseline
CZ,P07,2027-01,7,98628.7054909671,79293.30556508373,132673.1370394126,gradient_boosting,Baseline
CZ,P07,2027-02,8,92996.14159408235,71771.12642509333,116751.68070358402,gradient_boosting,Baseline
CZ,P07,2027-03,9,94605.38686628621,73392.30084455093,121968.37533864523,gradient_boosting,Baseline
CZ,P07,2027-04,10,165733.50356268944,123720.6592525391,208371.3277654022,gradient_boosting,Baseline
CZ,P07,2027-05,11,142326.90823690835,106921.73608197107,187272.80400464326,gradient_boosting,Baseline
CZ,P07,2027-06,12,125711.42758025328,100137.01618582479,163639.259241059,gradient_boosting,Baseline
DE,P01,2026-07,1,2439922.416691502,2185339.3811234706,2775867.171758769,gradient_boosting,Baseline
DE,P01,2026-08,2,2395490.4047351955,2080224.7213858007,2857392.7123384695,gradient_boosting,Baseline
DE,P01,2026-09,3,2372507.5883202306,2109058.853071584,2821719.9053235385,gradient_boosting,Baseline
DE,P01,2026-10,4,2341863.660780449,2027300.2052801943,2994431.6373384832,gradient_boosting,Baseline
DE,P01,2026-11,5,2406270.402348043,1958014.2831802552,3256406.604936444,gradient_boosting,Baseline
DE,P01,2026-12,6,2263697.7143980265,1937769.2500646815,2945670.9346525003,gradient_boosting,Baseline
DE,P01,2027-01,7,1968152.5537706935,1582311.3673445948,2647514.962110132,gradient_boosting,Baseline
DE,P01,2027-02,8,2059409.2772999506,1589379.0975464538,2585478.174253871,gradient_boosting,Baseline
DE,P01,2027-03,9,1819458.5713949252,1411486.758515648,2345705.8133768295,gradient_boosting,Baseline
DE,P01,2027-04,10,2034774.1655101797,1518966.266779797,2558255.183507412,gradient_boosting,Baseline
DE,P01,2027-05,11,2059719.6866440473,1547344.8237322494,2710165.5334164575,gradient_boosting,Baseline
DE,P01,2027-06,12,1821409.2376148847,1450866.399489543,2370938.4592569848,gradient_boosting,Baseline
DE,P02,2026-07,1,6237171.526961299,5586381.137140036,7095946.8087503,gradient_boosting,Baseline
DE,P02,2026-08,2,5410154.719677788,4698135.117614837,6453349.442800111,gradient_boosting,Baseline
DE,P02,2026-09,3,6146557.255722563,5464029.308024831,7310350.889104166,gradient_boosting,Baseline
DE,P02,2026-10,4,6662426.152583398,5767516.757271516,8518933.01340969,gradient_boosting,Baseline
DE,P02,2026-11,5,8342180.187016534,6788143.154278444,11289475.461304104,gradient_boosting,Baseline
DE,P02,2026-12,6,8376471.060472866,7170422.067310969,10900009.829428239,gradient_boosting,Baseline
DE,P02,2027-01,7,6665816.632902413,5359034.496929053,8966708.01075913,gradient_boosting,Baseline
DE,P02,2027-02,8,6619439.073954685,5108648.493328841,8310351.633431241,gradient_boosting,Baseline
DE,P02,2027-03,9,6620672.8446146175,5136138.95889541,8535589.11658654,gradient_boosting,Baseline
DE,P02,2027-04,10,6956316.82542157,5192915.645358005,8745950.227991296,gradient_boosting,Baseline
DE,P02,2027-05,11,7182125.274332796,5395503.300132295,9450192.907992428,gradient_boosting,Baseline
DE,P02,2027-06,12,8323960.257997971,6630555.066707689,10835345.018265983,gradient_boosting,Baseline
DE,P03,2026-07,1,11312996.577496078,10132591.417738963,12870645.22988939,gradient_boosting,Baseline
DE,P03,2026-08,2,11075544.805108279,9617914.586866897,13211149.144549781,gradient_boosting,Baseline
DE,P03,2026-09,3,8324054.465475621,7399732.186437918,9900137.008564763,gradient_boosting,Baseline
DE,P03,2026-10,4,6544118.277835883,5665100.214934475,8367658.2620126875,gradient_boosting,Baseline
DE,P03,2026-11,5,6107493.549298294,4969748.866248842,8265273.22703819,gradient_boosting,Baseline
DE,P03,2026-12,6,6361580.938425609,5445636.953146324,8278103.542523076,gradient_boosting,Baseline
DE,P03,2027-01,7,6007693.949909213,4829931.709438125,8081416.041500755,gradient_boosting,Baseline
DE,P03,2027-02,8,5944296.509602948,4587597.3882996235,7462746.262375624,gradient_boosting,Baseline
DE,P03,2027-03,9,6511606.596546005,5051528.312975727,8394977.323518012,gradient_boosting,Baseline
DE,P03,2027-04,10,7394983.680064638,5520382.037379033,9297471.754923081,gradient_boosting,Baseline
DE,P03,2027-05,11,8767026.942798277,6586145.603901507,11535596.035214998,gradient_boosting,Baseline
DE,P03,2027-06,12,10052647.440147938,8007562.548614374,13085586.666074373,gradient_boosting,Baseline
DE,P04,2026-07,1,6139256.319728126,5498682.464053672,6984549.984197543,gradient_boosting,Baseline
DE,P04,2026-08,2,6200380.360033259,5384360.747778483,7395947.660430762,gradient_boosting,Baseline
DE,P04,2026-09,3,6432071.250486085,5717839.167810436,7649924.311856873,gradient_boosting,Baseline
DE,P04,2026-10,4,6318808.6649613995,5470054.605712365,8079565.387825896,gradient_boosting,Baseline
DE,P04,2026-11,5,6175106.572526347,5024766.484002999,8356773.955802797,gradient_boosting,Baseline
DE,P04,2026-12,6,5737148.315770512,4911110.489112649,7465551.135236185,gradient_boosting,Baseline
DE,P04,2027-01,7,5937245.115345995,4773293.827617432,7986649.838945975,gradient_boosting,Baseline
DE,P04,2027-02,8,5608926.002864224,4328770.316274904,7041706.532673007,gradient_boosting,Baseline
DE,P04,2027-03,9,5930233.864139761,4600515.068456317,7645452.481576396,gradient_boosting,Baseline
DE,P04,2027-04,10,5810600.565046834,4337634.317184676,7305478.5473428955,gradient_boosting,Baseline
DE,P04,2027-05,11,5897191.023588665,4430208.665810141,7759484.92396234,gradient_boosting,Baseline
DE,P04,2027-06,12,6067858.527382462,4833428.903525053,7898564.941254235,gradient_boosting,Baseline
DE,P05,2026-07,1,7486272.474672949,6705150.108382312,8517032.287225142,gradient_boosting,Baseline
DE,P05,2026-08,2,7557667.660684625,6563018.191472183,9014949.27853972,gradient_boosting,Baseline
DE,P05,2026-09,3,7869170.945205246,6995359.985368646,9359125.510827327,gradient_boosting,Baseline
DE,P05,2026-10,4,7506925.864013597,6498581.70653118,9598755.334401282,gradient_boosting,Baseline
DE,P05,2026-11,5,7568974.876109629,6158975.692006026,10243096.434677571,gradient_boosting,Baseline
DE,P05,2026-12,6,7271199.411746441,6224288.049395108,9461758.357139826,gradient_boosting,Baseline
DE,P05,2027-01,7,8056722.665095866,6477264.088142076,10837723.813912386,gradient_boosting,Baseline
DE,P05,2027-02,8,7781353.808989478,6005373.109145241,9769073.423650157,gradient_boosting,Baseline
DE,P05,2027-03,9,7617912.760459869,5909770.718589545,9821263.604979098,gradient_boosting,Baseline
DE,P05,2027-04,10,7830859.467104211,5845764.887349119,9845484.163602242,gradient_boosting,Baseline
DE,P05,2027-05,11,7261873.446771868,5455413.356158783,9555125.025551334,gradient_boosting,Baseline
DE,P05,2027-06,12,7015579.7803750755,5588348.168044475,9132218.927943032,gradient_boosting,Baseline
DE,P06,2026-07,1,6718295.10530722,6017303.979503234,7643314.683053662,gradient_boosting,Baseline
DE,P06,2026-08,2,6688401.074618864,5808154.035792743,7978069.313087212,gradient_boosting,Baseline
DE,P06,2026-09,3,6730947.337304104,5983527.362013949,8005389.81491843,gradient_boosting,Baseline
DE,P06,2026-10,4,6607038.039179948,5719568.47763705,8448110.820860483,gradient_boosting,Baseline
DE,P06,2026-11,5,6472419.748038762,5266694.175779838,8759127.983649591,gradient_boosting,Baseline
DE,P06,2026-12,6,6351167.183129393,5436722.57616818,8264552.485727136,gradient_boosting,Baseline
DE,P06,2027-01,7,6141757.5516134165,4937713.172067792,8261755.411386614,gradient_boosting,Baseline
DE,P06,2027-02,8,6930721.1060427595,5348884.934281084,8701149.571884876,gradient_boosting,Baseline
DE,P06,2027-03,9,7305990.052809667,5667789.516901032,9419122.59437155,gradient_boosting,Baseline
DE,P06,2027-04,10,7440516.016414463,5554372.090985652,9354718.076140717,gradient_boosting,Baseline
DE,P06,2027-05,11,7322545.539428226,5500992.688689114,9634956.963568794,gradient_boosting,Baseline
DE,P06,2027-06,12,7786294.718812191,6202270.830052788,10135462.81785395,gradient_boosting,Baseline
DE,P07,2026-07,1,2056123.3395491298,1841586.1404547049,2339224.083641461,gradient_boosting,Baseline
DE,P07,2026-08,2,2130757.85081554,1850333.0874511858,2541614.0021447237,gradient_boosting,Baseline
DE,P07,2026-09,3,2209135.857069401,1963828.2970841331,2627415.251333361,gradient_boosting,Baseline
DE,P07,2026-10,4,2215426.494205951,1917846.3126201483,2832762.3403308443,gradient_boosting,Baseline
DE,P07,2026-11,5,2288259.094673989,1861986.9099569046,3096701.8596210456,gradient_boosting,Baseline
DE,P07,2026-12,6,2257712.026375606,1932645.3847550368,2937881.967459842,gradient_boosting,Baseline
DE,P07,2027-01,7,2326503.554105109,1870410.4073514882,3129560.7431929302,gradient_boosting,Baseline
DE,P07,2027-02,8,2288198.458772406,1765950.4798283838,2872710.7519268165,gradient_boosting,Baseline
DE,P07,2027-03,9,2530220.804815594,1962876.8790156904,3262043.8543058615,gradient_boosting,Baseline
DE,P07,2027-04,10,2568648.116941692,1917505.1005641231,3229477.4875545083,gradient_boosting,Baseline
DE,P07,2027-05,11,2636142.3409846304,1980376.86020763,3468618.6474999613,gradient_boosting,Baseline
DE,P07,2027-06,12,2598545.6716128606,2069904.1844209859,3382541.2453878038,gradient_boosting,Baseline
ES,P01,2026-07,1,982761.2047416249,880219.2841338057,1118074.3073050336,gradient_boosting,Baseline
ES,P01,2026-08,2,892834.6316953578,775330.4581353065,1064992.4394966348,gradient_boosting,Baseline
ES,P01,2026-09,3,863998.8762033761,768058.4407280193,1027589.0535238907,gradient_boosting,Baseline
ES,P01,2026-10,4,985469.4466525047,853099.3690854666,1260073.7344817442,gradient_boosting,Baseline
ES,P01,2026-11,5,1173590.6297672207,954966.3302380426,1588220.62330829,gradient_boosting,Baseline
ES,P01,2026-12,6,1246085.194446004,1066673.1504831002,1621487.2312827755,gradient_boosting,Baseline
ES,P01,2027-01,7,1261219.6737933874,1013967.2469690213,1696564.6034289505,gradient_boosting,Baseline
ES,P01,2027-02,8,1035570.1655604319,799216.3545763931,1300102.9423715654,gradient_boosting,Baseline
ES,P01,2027-03,9,1070352.598518987,830350.6018244147,1379933.7628138897,gradient_boosting,Baseline
ES,P01,2027-04,10,836535.3207170946,624476.6395589114,1051748.5707682758,gradient_boosting,Baseline
ES,P01,2027-05,11,946889.9562680279,711342.0733782563,1245911.5383788198,gradient_boosting,Baseline
ES,P01,2027-06,12,967846.4714539822,770950.2599953336,1259851.0946564123,gradient_boosting,Baseline
ES,P02,2026-07,1,12549329.092607103,11239924.222648047,14277204.232994188,gradient_boosting,Baseline
ES,P02,2026-08,2,13378445.221117608,11617734.902073633,15958098.517813371,gradient_boosting,Baseline
ES,P02,2026-09,3,13790612.180430451,12259270.676982919,16401736.747939756,gradient_boosting,Baseline
ES,P02,2026-10,4,14138050.24586225,12239001.204769677,18077664.23617605,gradient_boosting,Baseline
ES,P02,2026-11,5,15747517.019374924,12813964.390067102,21311120.472247068,gradient_boosting,Baseline
ES,P02,2026-12,6,15764591.980309507,13494797.20059865,20513914.069751337,gradient_boosting,Baseline
ES,P02,2027-01,7,13503831.663691422,10856509.218876474,18165053.469531488,gradient_boosting,Baseline
ES,P02,2027-02,8,13241573.382083926,10219377.07287816,16624086.989180153,gradient_boosting,Baseline
ES,P02,2027-03,9,13703002.275372814,10630418.613362484,17666361.083129626,gradient_boosting,Baseline
ES,P02,2027-04,10,13355390.204265699,9969847.044364514,16791296.448006682,gradient_boosting,Baseline
ES,P02,2027-05,11,13919664.489583822,10457015.55202416,18315402.421509445,gradient_boosting,Baseline
ES,P02,2027-06,12,14977715.576863244,11930687.416540219,19496575.04729638,gradient_boosting,Baseline
ES,P03,2026-07,1,6068461.409488315,5435274.339159297,6904007.55960325,gradient_boosting,Baseline
ES,P03,2026-08,2,6158599.982835964,5348079.00215227,7346111.123792454,gradient_boosting,Baseline
ES,P03,2026-09,3,5515238.696965555,4902813.823610903,6559498.014021867,gradient_boosting,Baseline
ES,P03,2026-10,4,4805803.410157112,4160279.0132969934,6144956.265049095,gradient_boosting,Baseline
ES,P03,2026-11,5,4386100.5436856765,3569028.4448584854,5935711.450565183,gradient_boosting,Baseline
ES,P03,2026-12,6,4845247.147991967,4147625.7508344892,6304951.232785635,gradient_boosting,Baseline
ES,P03,2027-01,7,4594084.056140255,3693449.1742728096,6179859.509630273,gradient_boosting,Baseline
ES,P03,2027-02,8,4086960.3119290844,3154171.1324125137,5130960.029173166,gradient_boosting,Baseline
ES,P03,2027-03,9,4721873.423684911,3663101.7148186276,6087594.471291264,gradient_boosting,Baseline
ES,P03,2027-04,10,5064515.095758515,3780678.81853877,6367449.62428163,gradient_boosting,Baseline
ES,P03,2027-05,11,5907322.8158660745,4437820.0783908125,7772816.269193452,gradient_boosting,Baseline
ES,P03,2027-06,12,6173302.9168258095,4917421.955991601,8035822.48507315,gradient_boosting,Baseline
ES,P04,2026-07,1,2791238.823994803,2499999.21410118,3175555.159893995,gradient_boosting,Baseline
ES,P04,2026-08,2,2751442.853681259,2389330.9830814186,3281980.4842397915,gradient_boosting,Baseline
ES,P04,2026-09,3,2842766.771569169,2527099.3679057634,3381018.3052811176,gradient_boosting,Baseline
ES,P04,2026-10,4,2817988.1147765904,2439470.7425708324,3603229.7293168274,gradient_boosting,Baseline
ES,P04,2026-11,5,2825644.190158382,2299264.32129849,3823945.3035092223,gradient_boosting,Baseline
ES,P04,2026-12,6,2919951.0082916864,2499534.82727602,3799630.472313906,gradient_boosting,Baseline
ES,P04,2027-01,7,2939052.293820898,2362873.6729901046,3953547.659406439,gradient_boosting,Baseline
ES,P04,2027-02,8,2807519.6922324137,2166744.203772146,3524690.778110746,gradient_boosting,Baseline
ES,P04,2027-03,9,3018712.6064209025,2341835.6090739,3891823.546367768,gradient_boosting,Baseline
