year_month,country_code,gdp_growth_yoy,cpi_yoy,data_traffic_index,ott_substitution_index,travel_index,ecommerce_index,mobile_penetration,price_pressure_index
2022-11,CZ,0.756,9.6854,271.5633,133.4854,108.4168,193.5014,1.3649,111.81
2022-12,CZ,1.1691,8.9011,277.1529,133.2969,109.6886,180.3076,1.3654,114.0159
2023-01,CZ,1.0831,8.4297,282.3416,135.7281,109.7027,165.2483,1.3668,114.0021
2023-02,CZ,1.2203,7.8043,285.2248,137.6789,110.2167,166.5138,1.3684,115.146
2023-03,CZ,1.3171,7.2785,289.8884,137.5251,109.3947,167.1509,1.3719,115.5684
2023-04,CZ,1.5045,6.863,296.7201,138.5343,109.7821,167.3603,1.3739,115.4537
2023-05,CZ,1.3843,6.1131,303.0068,140.044,111.0348,167.9192,1.3761,116.8377
2023-06,CZ,0.9013,5.5463,308.6304,141.909,113.8238,169.1129,1.3782,115.8599
2023-07,CZ,0.7771,5.1109,309.5032,141.3471,115.3157,176.3165,1.3751,115.3726
2023-08,CZ,0.5173,4.7234,320.6095,141.7305,114.9715,179.226,1.3744,116.1811
2023-09,CZ,0.508,4.1166,328.1615,143.8103,110.1849,181.9993,1.3761,115.5998
2023-10,CZ,0.7528,3.4932,335.1561,145.5388,113.5041,177.0268,1.3783,114.7271
2023-11,CZ,0.3792,3.0649,336.4559,148.2607,117.8996,208.1344,1.3806,116.7329
2023-12,CZ,0.6068,2.8437,343.2585,147.3806,114.9869,202.8939,1.3827,116.6204
2024-01,CZ,0.5661,2.5896,348.7317,147.6064,117.7049,188.0288,1.3851,115.0994
2024-02,CZ,0.6583,2.4468,357.3804,148.1353,115.8057,186.4448,1.3845,115.0904
2024-03,CZ,0.2276,2.373,364.7925,149.3095,112.2363,191.3592,1.3846,116.8863
2024-04,CZ,0.4123,2.7224,370.8864,149.4373,114.2218,195.053,1.3857,118.5536
2024-05,CZ,0.1867,2.7634,374.4758,151.7809,116.219,197.8259,1.3872,118.8236
2024-06,CZ,0.4678,2.6115,383.4452,153.1996,116.5415,203.314,1.3872,119.019
2024-07,CZ,0.3138,2.5068,394.0441,151.8158,116.66,207.4194,1.3873,119.6343
2024-08,CZ,0.1852,2.6539,395.3204,154.6297,120.7207,210.2854,1.3884,120.3289
2024-09,CZ,0.2089,2.7823,399.7035,155.4135,116.7108,207.3898,1.3923,121.7434
2024-10,CZ,1.3662,2.4707,419.8648,155.5393,120.9604,202.912,1.3931,120.344
2024-11,CZ,2.0187,2.4774,433.9549,157.8045,116.3235,240.4341,1.3965,121.2653
2024-12,CZ,1.547,2.3529,435.1332,158.8329,117.4041,228.6028,1.3968,121.2514
2025-01,CZ,1.2065,2.5389,444.2312,161.085,118.9635,205.5121,1.3985,119.5788
2025-02,CZ,0.8009,2.1776,452.1981,160.9887,122.9375,203.8331,1.4013,119.3977
2025-03,CZ,0.6854,2.2333,460.4322,161.2117,116.9821,204.4846,1.4032,119.7679
2025-04,CZ,0.6828,2.0949,470.1011,163.1484,121.9298,205.3845,1.4039,118.6486
2025-05,CZ,0.9291,2.2407,479.9269,163.3521,121.7822,212.4393,1.4107,117.8147
2025-06,CZ,1.4036,2.1626,484.8856,164.5487,122.3703,218.2496,1.4109,117.3614
2025-07,CZ,1.4379,2.3445,484.9826,165.5241,123.8476,215.4627,1.408,117.9257
2025-08,CZ,1.9763,2.4553,491.7409,167.727,121.901,222.3387,1.408,120.7195
2025-09,CZ,1.7472,2.5727,501.3994,168.0184,122.5631,227.7794,1.4069,122.3297
2025-10,CZ,1.4592,2.3484,503.4052,169.5458,122.541,225.0671,1.4078,125.1714
2025-11,CZ,1.0686,2.2338,505.7034,170.3476,119.7362,264.9412,1.4065,123.0439
2025-12,CZ,1.3545,2.1062,523.9523,170.2954,118.4137,248.2217,1.4117,120.1027
2026-01,CZ,1.4775,1.928,536.9784,170.7193,120.4529,231.0085,1.4154,119.9626
2026-02,CZ,1.0672,1.6369,535.0095,173.7813,120.3751,229.9849,1.4144,122.1025
2026-03,CZ,1.002,1.5811,548.1751,176.4784,121.1772,232.1195,1.416,125.0258
2026-04,CZ,1.2577,1.6969,564.1046,179.1976,125.3577,235.2611,1.4154,123.1736
2026-05,CZ,1.5017,1.9139,585.795,179.352,123.2899,235.741,1.4225,124.311
2026-06,CZ,1.5093,2.1558,597.3008,180.3641,128.0897,236.4279,1.4196,125.7139
2019-01,DE,1.5729,1.2555,99.4155,100.1628,99.4559,100.3131,1.3272,101.3585
2019-02,DE,1.5011,0.9319,101.4758,100.807,100.1319,100.6453,1.3312,100.7111
2019-03,DE,1.8682,1.0939,104.4554,101.0323,98.9211,104.0621,1.3337,100.4803
2019-04,DE,1.72,1.4847,104.4731,101.7162,100.1911,103.7641,1.3388,100.0063
2019-05,DE,1.4996,1.2583,105.5667,101.3894,99.4805,105.0786,1.3384,101.3168
2019-06,DE,1.2009,1.0929,107.8913,103.4423,101.8394,108.5202,1.3388,101.9061
2019-07,DE,1.5776,1.0213,112.2801,104.0562,102.0329,107.4662,1.3356,102.2893
2019-08,DE,0.5623,0.8755,113.8837,105.2053,103.9929,106.0652,1.339,102.1976
2019-09,DE,0.5558,0.9082,113.4022,106.0974,103.2714,106.4726,1.3398,103.0737
2019-10,DE,0.5033,1.0321,114.0298,107.3061,105.1085,108.9415,1.3414,103.8074
2019-11,DE,0.1632,0.8494,116.6009,107.221,104.1086,127.637,1.3413,103.2328
2019-12,DE,0.6623,0.6211,117.5499,106.7787,107.0112,123.2994,1.3439,103.3626
2020-01,DE,0.5204,0.5886,121.2877,107.887,107.4299,114.4832,1.3473,103.782
2020-02,DE,0.9114,0.3303,125.9716,108.5065,103.0068,115.5409,1.3474,102.9813
2020-03,DE,-3.7837,0.3764,126.4659,109.9167,45.3307,125.2289,1.3476,103.0614
2020-04,DE,-8.8748,0.653,145.6773,109.6044,9.4057,136.0407,1.3512,103.7156
2020-05,DE,-13.6369,0.8664,147.9671,110.397,11.9541,152.0548,1.351,104.7958
2020-06,DE,-12.937,1.0719,151.2849,111.3391,14.4117,151.2496,1.3482,104.9345
2020-07,DE,-10.841,1.0792,150.7788,112.5011,26.4546,150.6267,1.3489,105.3728
2020-08,DE,-9.5698,1.2474,157.7617,114.152,38.3945,154.4513,1.3467,106.1184
2020-09,DE,-7.8459,1.2522,161.9997,116.2377,31.0772,154.6968,1.351,105.3554
2020-10,DE,-6.7091,1.1755,162.9831,117.2023,23.4317,156.2146,1.3502,104.3914
2020-11,DE,-5.5985,1.288,168.0781,118.0241,22.5144,182.0427,1.3519,104.3118
2020-12,DE,-5.0396,1.2617,171.844,117.904,21.013,171.0083,1.3517,106.2689
2021-01,DE,-2.7571,1.3498,174.1937,117.2922,18.5969,155.3401,1.3548,107.3742
2021-02,DE,-0.1091,1.8119,178.918,119.5085,16.7684,159.8431,1.358,107.7174
2021-03,DE,2.4816,1.9884,181.5518,118.951,21.3988,160.5466,1.3563,107.0127
2021-04,DE,4.4771,2.296,182.8107,118.9088,26.42,161.2982,1.354,104.6881
2021-05,DE,6.7911,2.6639,185.0969,118.8954,31.4122,160.7962,1.3577,105.6216
2021-06,DE,8.7724,2.8257,187.707,119.0753,41.3326,159.7866,1.3618,106.1999
2021-07,DE,8.3831,3.4041,194.5457,119.2147,49.6988,162.9121,1.363,106.9357
2021-08,DE,7.8744,3.9018,195.657,121.7114,58.7683,165.2818,1.3638,105.3444
2021-09,DE,6.9533,4.0753,197.1348,122.891,58.6977,162.8995,1.3634,105.7683
2021-10,DE,6.3688,5.076,200.7677,122.5018,57.4152,159.4438,1.3675,104.7734
2021-11,DE,5.822,5.4127,206.5276,121.5867,55.9187,186.2157,1.3703,106.8167
2021-12,DE,4.4824,5.7282,209.0496,123.1065,59.1336,177.7928,1.3708,108.6375
2022-01,DE,5.1832,6.3114,214.0139,124.0301,67.5363,163.0691,1.3739,110.3872
2022-02,DE,4.3138,6.8917,219.9577,126.9743,71.9635,160.2642,1.3749,111.144
2022-03,DE,4.2049,7.2616,223.2042,127.7767,78.1663,162.9638,1.3805,110.6799
2022-04,DE,4.1785,7.5844,229.1431,130.6073,84.0287,160.1375,1.3816,109.6002
2022-05,DE,3.4985,8.4157,239.0465,133.4038,88.8419,159.491,1.3872,110.7894
2022-06,DE,2.9208,9.2405,239.6331,133.464,99.2172,159.0637,1.3859,111.3374
2022-07,DE,3.0871,9.7995,245.3291,134.1961,105.9499,161.9127,1.3839,113.1831
2022-08,DE,2.7975,10.3283,253.2269,134.0705,109.7018,160.6692,1.3801,114.3875
2022-09,DE,2.7131,10.647,254.8582,133.3624,112.4362,162.1742,1.3836,115.5839
2022-10,DE,2.0125,11.149,260.3864,133.6871,112.2534,160.982,1.3899,111.847
2022-11,DE,1.2144,10.4941,264.3376,135.2628,110.1634,192.6563,1.3891,111.9036
2022-12,DE,1.0176,9.7413,271.3273,137.8492,105.7675,182.5345,1.391,112.1574
2023-01,DE,0.7476,8.9529,273.0116,137.9149,104.8268,168.9252,1.3907,113.8316
2023-02,DE,1.1761,7.9584,277.4994,138.3838,105.358,171.1557,1.3974,115.4383
2023-03,DE,0.5037,7.2107,280.2606,138.7928,108.0725,173.8645,1.3981,113.299
2023-04,DE,0.1384,6.5742,291.5838,139.2993,110.9859,173.2957,1.3976,114.553
2023-05,DE,0.2878,6.242,297.1703,140.8545,112.8672,172.6756,1.3968,115.6719
2023-06,DE,0.054,5.5989,297.7673,141.133,112.1892,175.9766,1.3973,115.5753
2023-07,DE,0.2923,4.8036,308.1603,142.3246,112.8074,179.8598,1.3963,115.8052
2023-08,DE,0.1739,4.3659,313.6023,144.0455,112.6075,181.4827,1.3996,115.134
2023-09,DE,-0.0635,4.1176,315.629,144.0171,117.5635,185.1338,1.4002,115.588
2023-10,DE,-0.4799,3.5816,328.3779,144.1418,113.7409,185.4373,1.3983,115.3733
2023-11,DE,0.5217,3.5314,333.2095,145.9848,115.0338,211.1572,1.3987,116.9583
2023-12,DE,0.162,3.3246,341.8838,147.3934,112.5193,201.1382,1.4019,115.8304
2024-01,DE,0.7191,2.8172,353.8494,147.4598,108.5934,184.8845,1.4005,119.1017
2024-02,DE,1.0729,2.8298,363.0373,147.0248,113.8586,183.7927,1.4028,119.098
2024-03,DE,1.2958,2.7528,370.4896,146.1868,116.0077,182.8228,1.4036,118.0431
2024-04,DE,1.2231,2.7161,375.8898,147.0577,112.844,185.4651,1.407,119.3358
2024-05,DE,1.4306,2.5641,377.0132,148.1723,113.0618,186.0993,1.4067,118.4602
2024-06,DE,1.0967,2.6588,376.2828,150.3507,115.8298,190.4814,1.4089,119.0807
2024-07,DE,1.4793,2.5792,385.2346,152.0414,116.2214,192.365,1.4122,118.1935
2024-08,DE,0.9163,2.1802,391.2204,154.5568,112.8398,194.4233,1.4142,119.1314
2024-09,DE,0.8638,2.1692,403.5099,155.9464,113.8904,197.8908,1.4158,118.5595
2024-10,DE,0.589,2.1357,408.4866,154.9373,119.4738,206.7465,1.4172,119.8095
2024-11,DE,0.6956,2.1246,423.4573,156.277,119.468,238.5041,1.4155,121.1292
2024-12,DE,0.6971,2.1417,424.7407,159.4849,122.9887,231.667,1.4177,120.5473
2025-01,DE,0.8357,2.1058,435.4041,160.5106,119.7547,210.8729,1.4213,118.4439
2025-02,DE,1.2104,2.077,441.5805,161.2582,120.2167,210.999,1.4235,121.8826
2025-03,DE,1.0718,1.7988,450.7835,162.4561,119.8173,213.4519,1.4236,124.8321
2025-04,DE,1.0202,1.8855,466.8189,165.7931,118.4275,218.8305,1.4276,124.1678
2025-05,DE,1.0981,2.0724,470.9023,167.208,121.3682,218.4248,1.4305,122.9205
2025-06,DE,1.3229,2.3284,475.5071,168.1326,126.0644,221.3643,1.4293,121.517
2025-07,DE,1.7137,2.2201,497.5054,171.171,118.4072,225.8164,1.4294,119.4087
2025-08,DE,1.7857,2.1044,507.5185,171.6067,115.2892,224.9342,1.4314,119.08
2025-09,DE,2.3782,1.9329,506.7115,170.4226,115.9161,225.1557,1.4353,121.4533
2025-10,DE,2.4537,1.8785,517.4189,170.254,111.5212,230.3832,1.4325,121.2696
2025-11,DE,2.3824,1.8102,516.825,170.9224,118.7123,262.0945,1.4326,121.4147
2025-12,DE,2.1774,1.8479,524.7432,171.9966,118.1738,256.8719,1.4351,121.402
2026-01,DE,2.2785,1.8364,545.5908,171.3611,119.4006,232.9756,1.4336,121.6684
2026-02,DE,2.0978,2.1125,551.0316,173.8352,122.4453,232.0816,1.4351,122.6906
2026-03,DE,1.7006,2.0019,567.5518,175.6906,122.7425,234.4284,1.4411,124.5149
2026-04,DE,1.9545,1.8583,570.1675,175.9244,125.7415,231.6369,1.4403,124.1591
2026-05,DE,2.0106,1.8791,583.8285,176.4526,124.9036,238.4764,1.4421,125.1506
2026-06,DE,1.9616,2.055,607.625,178.6262,123.1128,234.899,1.4396,125.3338
2019-01,ES,1.7588,1.5368,100.5673,99.3576,102.6817,100.3659,1.2402,99.1997
2019-02,ES,1.2876,1.7983,102.3124,100.9751,103.1979,97.6945,1.2428,102.6289
2019-03,ES,0.7274,1.629,101.8655,101.7967,102.0647,101.3217,1.2434,101.4903
2019-04,ES,2.0702,1.5184,105.2831,103.6897,104.3177,103.8384,1.2437,102.4356
2019-05,ES,0.7024,1.4446,106.8174,103.5932,104.8834,103.8294,1.2458,103.1568
2019-06,ES,0.5669,1.5545,111.0966,105.1485,106.5024,106.2373,1.2431,102.788
2019-07,ES,0.5522,1.3258,115.6632,105.1415,103.844,107.7475,1.2446,102.3765
2019-08,ES,0.8514,1.0334,119.5132,105.9917,106.0434,107.7815,1.247,101.218
2019-09,ES,0.4649,0.8371,122.5902,105.9838,108.5898,110.4284,1.2463,101.9417
2019-10,ES,0.4749,0.5955,123.9848,106.378,111.377,113.0556,1.2453,102.7003
2019-11,ES,1.0535,0.5669,123.4551,106.1506,108.0202,131.3438,1.2458,102.651
2019-12,ES,1.0846,0.431,124.4747,107.1015,110.5493,122.3356,1.2478,102.3566
2020-01,ES,1.4887,0.33,129.8879,108.8585,106.012,111.6595,1.2502,104.1287
2020-02,ES,1.0953,0.158,130.2412,109.3654,101.5587,112.8223,1.2507,105.2552
2020-03,ES,-3.6543,0.2553,131.6438,108.9763,45.8916,128.5975,1.2528,103.2864
2020-04,ES,-8.0173,0.3117,150.2101,110.2578,9.2617,144.3668,1.2553,104.1245
2020-05,ES,-12.4965,0.2626,148.8521,112.1943,12.0134,157.576,1.2566,104.7129
2020-06,ES,-11.7183,0.4877,153.1464,112.4853,14.7339,156.8613,1.2642,104.5127
2020-07,ES,-10.5432,0.2698,154.179,114.4947,27.3729,154.5807,1.2626,103.5445
2020-08,ES,-9.2871,0.5465,156.5344,114.0579,39.9483,154.6902,1.2635,104.9155
